-----
{
 "description": "The table refers to block wise distribution of surface flow schemes in the major/medium project command. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.9.csv", 
 "title": "Download CSV for Blockwise Surface Flow Schemes in the major/medium project command for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.9.csv"
}
-----
State,District,Block,Location of Schemes - On the command,Location of schemes - Outside command,Location of schemes - Augmentation,Total
MADHYA PRADESH,JHABUA,MEGHNAGAR,0,29,0,29
MADHYA PRADESH,JHABUA,PETALAWAD,110,644,0,754
MADHYA PRADESH,JHABUA,RAMA,3,271,0,274
MADHYA PRADESH,JHABUA,RANAPUR,11,772,0,783
MADHYA PRADESH,JHABUA,SONDWA,0,64,0,64
MADHYA PRADESH,JHABUA,THANDLA,4,665,0,669
MADHYA PRADESH,JHABUA,UDAIGARH,42,24,0,66
MADHYA PRADESH,KHANDWA,BALDEE,1,0,0,1
MADHYA PRADESH,KHANDWA,BURHANPUR,0,60,0,60
MADHYA PRADESH,KHANDWA,CHHAIGAON MAKHAN,NA,NA,NA,NA
MADHYA PRADESH,KHANDWA,HARSUD,0,8,0,8
MADHYA PRADESH,KHANDWA,KHAKNER,0,3,0,3
MADHYA PRADESH,KHANDWA,KHALWA,0,13,0,13
MADHYA PRADESH,KHANDWA,KHANDWA,NA,NA,NA,NA
MADHYA PRADESH,KHANDWA,PANDHANA,0,106,0,106
MADHYA PRADESH,KHANDWA,PUNASA,0,42,0,42
MADHYA PRADESH,KHARGONE,BADWAH,19,217,0,236
MADHYA PRADESH,KHARGONE,BADWANI,18,204,0,222
MADHYA PRADESH,KHARGONE,BHAGWANPURA,71,314,0,385
MADHYA PRADESH,KHARGONE,BHEEKANGAON,0,52,0,52
MADHYA PRADESH,KHARGONE,GOGAWAN,0,48,0,48
MADHYA PRADESH,KHARGONE,JHIRANYA,0,36,0,36
MADHYA PRADESH,KHARGONE,KASRAWAD,9,74,0,83
MADHYA PRADESH,KHARGONE,KHARGONE,5,101,0,106
MADHYA PRADESH,KHARGONE,MAHESHWAR,88,436,0,524
MADHYA PRADESH,KHARGONE,NIWALI,0,33,0,33
MADHYA PRADESH,KHARGONE,PANSEMAL,1,397,0,398
MADHYA PRADESH,KHARGONE,PATEE,5,217,0,222
MADHYA PRADESH,KHARGONE,RAJPUR,13,718,0,731
MADHYA PRADESH,KHARGONE,SEGAON,0,87,0,87
MADHYA PRADESH,KHARGONE,SENDHWA,0,268,0,268
MADHYA PRADESH,KHARGONE,THIKARI,0,99,0,99
MADHYA PRADESH,MANDLA,AMARPUR,0,1,0,1
MADHYA PRADESH,MANDLA,BAJANG,29,95,0,124
MADHYA PRADESH,MANDLA,BEEJADANDI,0,4,0,4
MADHYA PRADESH,MANDLA,BICHHIYA,0,6,0,6
MADHYA PRADESH,MANDLA,DINDORI,0,7,0,7
MADHYA PRADESH,MANDLA,GHUGHARI,0,30,0,30
MADHYA PRADESH,MANDLA,KARANJIYA,0,1,0,1
MADHYA PRADESH,MANDLA,MANDLA,0,33,0,33
MADHYA PRADESH,MANDLA,MAWAI,0,4,0,4
MADHYA PRADESH,MANDLA,MEHADWANI,0,2,0,2
MADHYA PRADESH,MANDLA,MOHGAON,1,5,0,6
MADHYA PRADESH,MANDLA,MOWAS,0,4,0,4
MADHYA PRADESH,MANDLA,NAINPUR,NA,NA,NA,NA
MADHYA PRADESH,MANDLA,NARAYANGANJ,0,2,0,2
MADHYA PRADESH,MANDLA,SAMNAPUR,0,12,0,12
MADHYA PRADESH,MANDLA,SHAHPURA,0,5,0,5
MADHYA PRADESH,MANDSAUR,BHANPURA,0,24,0,24
MADHYA PRADESH,MANDSAUR,GAROTH,8,89,0,97
MADHYA PRADESH,MANDSAUR,JAWAD,0,116,0,116
MADHYA PRADESH,MANDSAUR,MALHARGARH,0,13,0,13
MADHYA PRADESH,MANDSAUR,MANASA,0,428,0,428
MADHYA PRADESH,MANDSAUR,MANDSAUR,1,18,0,19
MADHYA PRADESH,MANDSAUR,NEEMACH,0,124,0,124
MADHYA PRADESH,MANDSAUR,SITAMAU,0,1,0,1
MADHYA PRADESH,MORENA,AMBAH,NA,NA,NA,NA
MADHYA PRADESH,MORENA,JAURA,NA,NA,NA,NA
MADHYA PRADESH,MORENA,KAILARAS,NA,NA,NA,NA
MADHYA PRADESH,MORENA,KARAHAL,0,18,0,18
MADHYA PRADESH,MORENA,MORENA,NA,NA,NA,NA
MADHYA PRADESH,MORENA,PAHARGARH,0,10,0,10
MADHYA PRADESH,MORENA,PAROSA,NA,NA,NA,NA
MADHYA PRADESH,MORENA,SABALGARH,0,2,0,2
MADHYA PRADESH,MORENA,SHEOPUR KALAN,0,587,0,587
MADHYA PRADESH,MORENA,VIJAIPUR,0,555,0,555
MADHYA PRADESH,NARSIMHAPUR,BABAICHICHALI,0,3,0,3
MADHYA PRADESH,NARSIMHAPUR,CHANWARPATHA,0,64,0,64
MADHYA PRADESH,NARSIMHAPUR,GOTEGAON,0,87,0,87
MADHYA PRADESH,NARSIMHAPUR,KARELI,32,32,0,64
MADHYA PRADESH,NARSIMHAPUR,NARSINGHPUR,1,5,0,6
MADHYA PRADESH,NARSIMHAPUR,SAINKHEDA,0,16,0,16
MADHYA PRADESH,PANNA,AJAIGARH,1,17,0,18
MADHYA PRADESH,PANNA,GUNNAUR,0,18,0,18
MADHYA PRADESH,PANNA,PANNA,7,24,0,31
MADHYA PRADESH,PANNA,PAWAI,0,17,0,17
MADHYA PRADESH,PANNA,SHAHNAGAR,1,11,0,12
MADHYA PRADESH,RAIGARH,BAGEECHA,NA,NA,NA,NA
MADHYA PRADESH,RAIGARH,CHARGHODA,0,1104,0,1104
MADHYA PRADESH,RAIGARH,DHARAMJAIGARH,151,471,0,622
MADHYA PRADESH,RAIGARH,DULDHLA,NA,NA,NA,NA
MADHYA PRADESH,RAIGARH,JASHPURNAGAR,1,76,0,77
MADHYA PRADESH,RAIGARH,KANSABEL,0,9,0,9
MADHYA PRADESH,RAIGARH,KHARASIYA,6,132,0,138
MADHYA PRADESH,RAIGARH,KUNKURI,0,103,0,103
MADHYA PRADESH,RAIGARH,LALLUNGA,0,20,0,20
MADHYA PRADESH,RAIGARH,NANORA,NA,NA,NA,NA
MADHYA PRADESH,RAIGARH,PATTHALGAON,NA,NA,NA,NA
MADHYA PRADESH,RAIGARH,PUSAUR,48,139,0,187
MADHYA PRADESH,RAIGARH,RAIGARH,3,565,0,568
MADHYA PRADESH,RAIGARH,SARANGARH,8,309,0,317
MADHYA PRADESH,RAIGARH,SARIYALENDHA,34,219,0,253
MADHYA PRADESH,RAIGARH,TAMNAR,0,730,0,730
MADHYA PRADESH,RAIGARH,TAPKARA,0,116,0,116
MADHYA PRADESH,RAIPUR,ABHANPUR,14,186,0,200
MADHYA PRADESH,RAIPUR,BAGBAHRA,4,77,0,81
MADHYA PRADESH,RAIPUR,BASNA,4,354,0,358
MADHYA PRADESH,RAIPUR,BHATAPARA,2,31,0,33
MADHYA PRADESH,RAIPUR,BILAIGARH,21,109,0,130
MADHYA PRADESH,RAIPUR,CHANDKHURAI(ARANG),3,4,0,7
MADHYA PRADESH,RAIPUR,CHHURA,NA,NA,NA,NA
MADHYA PRADESH,RAIPUR,DEOBHOG,7,4,0,11
MADHYA PRADESH,RAIPUR,DHAMTARI,1,82,0,83
MADHYA PRADESH,RAIPUR,GARIYABAND,NA,NA,NA,NA
MADHYA PRADESH,RAIPUR,KASDOL,4,47,0,51
MADHYA PRADESH,RAIPUR,KURUD,NA,NA,NA,NA
MADHYA PRADESH,RAIPUR,MAGARLOD,1,78,0,79
MADHYA PRADESH,RAIPUR,MAHASAMUND,1,61,0,62
MADHYA PRADESH,RAIPUR,MAINPUR,NA,NA,NA,NA
MADHYA PRADESH,RAIPUR,PALARI,0,15,0,15
MADHYA PRADESH,RAIPUR,PALARI(BALODABAZAR),7,249,0,256
MADHYA PRADESH,RAIPUR,PITHORA,15,166,0,181
MADHYA PRADESH,RAIPUR,RAIPUR(DHARSIWA),62,97,0,159
MADHYA PRADESH,RAIPUR,RAJIM,137,362,0,499
MADHYA PRADESH,RAIPUR,SARAIPALI,8,258,0,266
MADHYA PRADESH,RAIPUR,SIHAWA,0,256,0,256
MADHYA PRADESH,RAIPUR,SIMGA,2,63,0,65
MADHYA PRADESH,RAIPUR,TILDA,2,201,0,203
MADHYA PRADESH,RAISEN,BARELI,NA,NA,NA,NA
MADHYA PRADESH,RAISEN,BEGAMGANJ,NA,NA,NA,NA
MADHYA PRADESH,RAISEN,GAIRATGANJ,NA,NA,NA,NA
MADHYA PRADESH,RAISEN,OBEDULLAHGANJ,28,45,0,73
MADHYA PRADESH,RAISEN,SANCHI,0,11,0,11
MADHYA PRADESH,RAISEN,SILWANI,NA,NA,NA,NA
MADHYA PRADESH,RAISEN,UDAIPURA,0,9,0,9
MADHYA PRADESH,RAJGARH,BIAORA,3,27,0,30
MADHYA PRADESH,RAJGARH,JEERAPUR,0,1,0,1
MADHYA PRADESH,RAJGARH,KHILCHIPUR,0,11,0,11
MADHYA PRADESH,RAJGARH,NARASINGHGARH,0,4,0,4
MADHYA PRADESH,RAJGARH,PACHAUR (SARANGPUR),0,26,0,26
MADHYA PRADESH,RAJGARH,RAJGARH,0,3,0,3
MADHYA PRADESH,RAJNANDGAON,BODLA,1,45,0,46
MADHYA PRADESH,RAJNANDGAON,CHAUKI,NA,NA,NA,NA
MADHYA PRADESH,RAJNANDGAON,CHHUIKHANDAN,5,33,0,38
MADHYA PRADESH,RAJNANDGAON,CHHURIA,NA,NA,NA,NA
MADHYA PRADESH,RAJNANDGAON,DOMGARGARH,0,7,0,7
MADHYA PRADESH,RAJNANDGAON,DONGARGAON,0,32,0,32
MADHYA PRADESH,RAJNANDGAON,KAWARDHA,NA,NA,NA,NA
MADHYA PRADESH,RAJNANDGAON,KHALRAGARH,2,83,0,85
MADHYA PRADESH,RAJNANDGAON,MANPUR,NA,NA,NA,NA
MADHYA PRADESH,RAJNANDGAON,MOHLA,NA,NA,NA,NA
MADHYA PRADESH,RAJNANDGAON,RAJNANDGAON,6,80,0,86
MADHYA PRADESH,RAJNANDGAON,SAHASPURLOHARA,NA,NA,NA,NA
MADHYA PRADESH,RATLAM,ALOT,1,32,0,33
MADHYA PRADESH,RATLAM,BAJNA,0,320,0,320
MADHYA PRADESH,RATLAM,JAWRA,1,98,0,99
MADHYA PRADESH,RATLAM,PIPLODA,0,73,0,73
MADHYA PRADESH,RATLAM,RATLAM,0,295,0,295
MADHYA PRADESH,RATLAM,SAILANA,1,234,0,235
MADHYA PRADESH,REWA,GANGEO,0,5,0,5
MADHYA PRADESH,REWA,HANUMANA,4,395,0,399
MADHYA PRADESH,REWA,JAWA,NA,NA,NA,NA
MADHYA PRADESH,REWA,MAUGANJ,0,21,0,21
MADHYA PRADESH,REWA,NAIGARHI,0,11,0,11
MADHYA PRADESH,REWA,RAIPUR,0,44,0,44
MADHYA PRADESH,REWA,REWA,NA,NA,NA,NA
MADHYA PRADESH,REWA,SIRMAUR,1,27,0,28
MADHYA PRADESH,REWA,TYONTHAR,0,8,0,8
MADHYA PRADESH,SAGAR,BANDA,0,156,0,156
MADHYA PRADESH,SAGAR,BEENA,NA,NA,NA,NA
MADHYA PRADESH,SAGAR,DEORI,0,72,0,72
MADHYA PRADESH,SAGAR,JAISINAGAR,0,44,0,44
MADHYA PRADESH,SAGAR,KESALI,0,94,0,94
MADHYA PRADESH,SAGAR,KHURAI,0,36,0,36
MADHYA PRADESH,SAGAR,MALTHON,0,37,0,37
MADHYA PRADESH,SAGAR,RAHATGARH,0,113,0,113
MADHYA PRADESH,SAGAR,REHALI,0,49,0,49
MADHYA PRADESH,SAGAR,SAGAR,0,635,0,635
MADHYA PRADESH,SAGAR,SHAHGARH,0,3,0,3
MADHYA PRADESH,SATNA,AMARPATAN,159,99,0,258
MADHYA PRADESH,SATNA,CHITRAKOOT,0,16,0,16
MADHYA PRADESH,SATNA,MAIHAR,0,10,0,10
MADHYA PRADESH,SATNA,NAGOD,0,13,0,13
MADHYA PRADESH,SATNA,RAMNAGAR,0,96,0,96
MADHYA PRADESH,SATNA,RAMPUR,1,5,0,6
MADHYA PRADESH,SATNA,SATNA,NA,NA,NA,NA
MADHYA PRADESH,SATNA,UNCHEHARA,0,24,0,24
MADHYA PRADESH,SEHORE,AASHTA,0,18,0,18
MADHYA PRADESH,SEHORE,BUDANI,2,3,0,5
MADHYA PRADESH,SEHORE,ICHHAWER,0,9,0,9
MADHYA PRADESH,SEHORE,NASRULLAHGANJ,NA,NA,NA,NA
MADHYA PRADESH,SEHORE,SIHORE,1,44,0,45
MADHYA PRADESH,SEONI,BARGHAT,26,453,0,479
MADHYA PRADESH,SEONI,CHHAPARA,0,73,0,73
MADHYA PRADESH,SEONI,DHANORA,0,31,0,31
MADHYA PRADESH,SEONI,KAHANAPUS,1,66,0,67
MADHYA PRADESH,SEONI,KEOLARI,9,43,0,52
MADHYA PRADESH,SEONI,KURAI,2,39,0,41
MADHYA PRADESH,SEONI,LAKHNADAUN,0,34,0,34
MADHYA PRADESH,SEONI,SEONI,0,30,0,30
MADHYA PRADESH,SHAHDOL,ANUPPUR,1,1,0,2
MADHYA PRADESH,SHAHDOL,BUDHAR,0,38,0,38
MADHYA PRADESH,SHAHDOL,BYOHARI,0,10,0,10
MADHYA PRADESH,SHAHDOL,JAISINGHNAGAR,0,33,0,33
MADHYA PRADESH,SHAHDOL,JAITAHARI,0,28,0,28
MADHYA PRADESH,SHAHDOL,KOTAMA,1,2,0,3
MADHYA PRADESH,SHAHDOL,MANPUR,0,38,0,38
MADHYA PRADESH,SHAHDOL,PALEE-1,0,4,0,4
MADHYA PRADESH,SHAHDOL,PALEE-2,0,145,0,145
MADHYA PRADESH,SHAHDOL,PUSHPRAJGARH,0,75,0,75
MADHYA PRADESH,SHAHDOL,SOHAGPUR,0,249,0,249
MADHYA PRADESH,SHAHDOL,UMARIYA,0,22,0,22
MADHYA PRADESH,SHAJAPUR,AGAR,0,2,0,2
MADHYA PRADESH,SHAJAPUR,BAROD,0,90,0,90
MADHYA PRADESH,SHAJAPUR,KALAPIPALMANDI,0,253,0,253
MADHYA PRADESH,SHAJAPUR,MOMANBARODIYA,1,15,0,16
MADHYA PRADESH,SHAJAPUR,NALKHEDA,2,525,0,527
MADHYA PRADESH,SHAJAPUR,SHAJAPUR,0,5,0,5
MADHYA PRADESH,SHAJAPUR,SUJALPUR,5,1587,0,1592
MADHYA PRADESH,SHAJAPUR,SUSNER,1,213,0,214
MADHYA PRADESH,SHIVPURI,BADARWAS,0,28,0,28
MADHYA PRADESH,SHIVPURI,KARERA,0,131,0,131
MADHYA PRADESH,SHIVPURI,KHANIYADHANA,NA,NA,NA,NA
MADHYA PRADESH,SHIVPURI,KOLARAS,0,83,0,83
MADHYA PRADESH,SHIVPURI,NARWAR,0,181,0,181
MADHYA PRADESH,SHIVPURI,PICHHORE,0,355,0,355
MADHYA PRADESH,SHIVPURI,POHARI,0,68,0,68
MADHYA PRADESH,SHIVPURI,SHIVPURI,0,64,0,64
MADHYA PRADESH,SIDHI,BAIDHAN,0,15,0,15
MADHYA PRADESH,SIDHI,CHITRANGI,1,43,0,44
MADHYA PRADESH,SIDHI,DEOSAR,0,30,0,30
MADHYA PRADESH,SIDHI,KUSAMI,0,19,0,19
MADHYA PRADESH,SIDHI,MAJHAULI,0,14,0,14
MADHYA PRADESH,SIDHI,RAMPURNEKIN,NA,NA,NA,NA
MADHYA PRADESH,SIDHI,SIDHI,0,26,0,26
MADHYA PRADESH,SIDHI,SIHAWAL,0,7,0,7
MADHYA PRADESH,SURGUJA,AMBIKAPUR,1,0,0,1
MADHYA PRADESH,SURGUJA,BADRAFNAGAR,0,313,0,313
MADHYA PRADESH,SURGUJA,BAIKUNTHPUR,NA,NA,NA,NA
MADHYA PRADESH,SURGUJA,BALRAMPUR,0,13,0,13
MADHYA PRADESH,SURGUJA,BATOLI,6,222,0,228
MADHYA PRADESH,SURGUJA,BHAIYATHAN,0,258,0,258
MADHYA PRADESH,SURGUJA,BHARATPUR,1,544,0,545
MADHYA PRADESH,SURGUJA,KHARGAWAN,NA,NA,NA,NA
MADHYA PRADESH,SURGUJA,KUSAMI,29,724,0,753
MADHYA PRADESH,SURGUJA,LAKHANPUR,0,89,0,89
MADHYA PRADESH,SURGUJA,LUNDRA,0,273,0,273
MADHYA PRADESH,SURGUJA,MAINPAT,0,507,0,507
MADHYA PRADESH,SURGUJA,MANENDRAGARH,0,673,0,673
MADHYA PRADESH,SURGUJA,ODAGI,0,850,0,850
MADHYA PRADESH,SURGUJA,PRATAPPUR,0,721,0,721
MADHYA PRADESH,SURGUJA,PREMNAGAR,6,369,0,375
MADHYA PRADESH,SURGUJA,RAJPUR,42,230,0,272
MADHYA PRADESH,SURGUJA,RAMANUJNAGAR,NA,NA,NA,NA
MADHYA PRADESH,SURGUJA,RAMCHANDRAPUR,0,69,0,69
MADHYA PRADESH,SURGUJA,SHANKARGARH,0,175,0,175
MADHYA PRADESH,SURGUJA,SITAPUR,20,346,0,366
MADHYA PRADESH,SURGUJA,SONHAT,17,76,0,93
MADHYA PRADESH,SURGUJA,SURAJPUR,49,612,0,661
MADHYA PRADESH,SURGUJA,UDAYPUR,0,305,0,305
MADHYA PRADESH,TIKAMGARH,BALDEOGARH,NA,NA,NA,NA
MADHYA PRADESH,TIKAMGARH,JATARA,0,120,0,120
MADHYA PRADESH,TIKAMGARH,NIWARI,0,73,0,73
MADHYA PRADESH,TIKAMGARH,PALERA,0,349,0,349
MADHYA PRADESH,TIKAMGARH,PRITHWIPUR,0,278,0,278
MADHYA PRADESH,TIKAMGARH,TIKAMGARH,0,81,0,81
MADHYA PRADESH,UJJAIN,BADNAGAR,0,18,0,18
MADHYA PRADESH,UJJAIN,GHATIYA,NA,NA,NA,NA
MADHYA PRADESH,UJJAIN,KHACHRAUD,33,90,0,123
MADHYA PRADESH,UJJAIN,MAHIDPUR,NA,NA,NA,NA
MADHYA PRADESH,UJJAIN,TARANA,33,11,0,44
MADHYA PRADESH,UJJAIN,UJJAIN,0,315,0,315
MADHYA PRADESH,VIDISHA,BASODA,0,2,0,2
MADHYA PRADESH,VIDISHA,GYARASPUR,NA,NA,NA,NA
MADHYA PRADESH,VIDISHA,KURWAI,NA,NA,NA,NA
MADHYA PRADESH,VIDISHA,LATERI,NA,NA,NA,NA
MADHYA PRADESH,VIDISHA,NATERAN,0,9,0,9
MADHYA PRADESH,VIDISHA,SIRONJ,0,1,0,1
MADHYA PRADESH,VIDISHA,VIDISHA,NA,NA,NA,NA
MAHARASHTRA,,,NA,NA,NA,NA
MANIPUR,BISHNUPUR,BISHNUPUR,0,10,0,10
MANIPUR,BISHNUPUR,MOIRANG,0,2,0,2
MANIPUR,CHANDEL,CHAKPIKARONG,0,3,0,3
MANIPUR,CHANDEL,CHANDEL,0,6,0,6
MANIPUR,CHURACHANDPUR,CHURACHANDPUR,0,31,0,31
MANIPUR,CHURACHANDPUR,HENGLEP,0,11,0,11
MANIPUR,CHURACHANDPUR,SINGHAT,0,20,0,20
MANIPUR,CHURACHANDPUR,THANGLON,0,10,0,10
MANIPUR,IMPHAL,HAORANGSABAL(I-W),0,11,0,11
MANIPUR,IMPHAL,IRILBUNG(IMPHAL-E),0,3,0,3
MANIPUR,IMPHAL,SWOMBUNG(IMPHAL-E),0,12,0,12
MANIPUR,IMPHAL,WAQNGOI(I-W),NA,NA,NA,NA
MANIPUR,SENAPATI,KANGPOKPI,0,17,0,17
MANIPUR,SENAPATI,PAOMATA,0,5,0,5
MANIPUR,SENAPATI,PURUL,NA,NA,NA,NA
MANIPUR,SENAPATI,SAIKHUL,0,9,0,9
MANIPUR,SENAPATI,TADUBI,0,1,0,1
MANIPUR,TAMENGLONG,NUNGBA,0,20,0,20
MANIPUR,TAMENGLONG,TAMEI,0,7,0,7
MANIPUR,TAMENGLONG,TAMENGLONG,0,10,0,10
MANIPUR,THOUBAL,KAKCHING,0,3,0,3
MANIPUR,THOUBAL,THOUBAL,0,20,0,20
MANIPUR,UKHRUL,CHINGAI,0,9,0,9
MANIPUR,UKHRUL,KAMJONG,0,1,0,1
MANIPUR,UKHRUL,PHUNGYAR,0,8,0,8
MANIPUR,UKHRUL,UKHRUL,0,11,0,11
MEGHALAYA,EAST GARO HILLS,DAMBO RONGJENG,0,225,0,225
MEGHALAYA,EAST GARO HILLS,RESU-BELPARA,1,463,0,464
MEGHALAYA,EAST GARO HILLS,SAMANDA.,1,118,0,119
MEGHALAYA,EAST GARO HILLS,SONGSAK,0,207,0,207
MEGHALAYA,EAST KHASI HILLS,MAWKYNREW,0,589,0,589
MEGHALAYA,EAST KHASI HILLS,MAWPHLANG,8,499,0,507
MEGHALAYA,EAST KHASI HILLS,MAWRYNGKNENG,0,530,0,530
MEGHALAYA,EAST KHASI HILLS,MAWSYNRAM,2,29,0,31
MEGHALAYA,EAST KHASI HILLS,MYLLIEM,1,533,0,534
MEGHALAYA,EAST KHASI HILLS,PYNURSLA,1,677,0,678
MEGHALAYA,EAST KHASI HILLS,SHELLA BHOLAGANGH,0,158,0,158
MEGHALAYA,JAINTIA HILLS,AMLAREM,471,88,0,559
MEGHALAYA,JAINTIA HILLS,KHLIEHRIAT,6,533,1,540
MEGHALAYA,JAINTIA HILLS,LASKEIN,179,339,0,518
MEGHALAYA,JAINTIA HILLS,THADLASKEIN,120,914,1,1035
MEGHALAYA,RI BHOI DISTRICT,UMLING  C&D BLOCK,4,2036,1,2041
MEGHALAYA,RI BHOI DISTRICT,UMSNING C&D BLOCK,2,2211,0,2213
MEGHALAYA,SOUTH GARO HILLS,BAGHMARA,0,45,0,45
MEGHALAYA,SOUTH GARO HILLS,CHOKPOT,0,27,0,27
MEGHALAYA,SOUTH GARO HILLS,RONGRA,0,15,0,15
MEGHALAYA,WEST GARO HILLS,BETASING,74,39,0,113
MEGHALAYA,WEST GARO HILLS,DADENGGIRI,0,40,0,40
MEGHALAYA,WEST GARO HILLS,DALUS,1,215,0,216
MEGHALAYA,WEST GARO HILLS,RONGRAM,14,30,0,44
MEGHALAYA,WEST GARO HILLS,SELSELLA,39,48,0,87
MEGHALAYA,WEST GARO HILLS,TIKKIRKILLA,46,1,0,47
MEGHALAYA,WEST GARO HILLS,ZIKZAK,12,24,1,37
MEGHALAYA,WEST KHASI HILLS,MAIRANG,22,605,0,627
MEGHALAYA,WEST KHASI HILLS,MAWKYRWAT,0,192,0,192
MEGHALAYA,WEST KHASI HILLS,MAWSHYNRUT,0,665,0,665
MEGHALAYA,WEST KHASI HILLS,NONGSTOIN,0,1037,0,1037
MEGHALAYA,WEST KHASI HILLS,RANIKOR,0,124,0,124
MIZORAM,AIZAWL,AIBAWK,0,116,0,116
MIZORAM,AIZAWL,DARLAWN,0,71,0,71
MIZORAM,AIZAWL,KHAWZAWL,2,1274,0,1276
MIZORAM,AIZAWL,LUNGDAR 'E',0,941,0,941
MIZORAM,AIZAWL,NGOPA,2,359,0,361
MIZORAM,AIZAWL,PHAILENG 'W',0,67,0,67
MIZORAM,AIZAWL,REIEK,0,60,0,60
MIZORAM,AIZAWL,SERCHHIP,0,554,0,554
MIZORAM,AIZAWL,THINGDAWL,0,220,0,220
MIZORAM,AIZAWL,THINGSULTHLIAH,0,172,0,172
MIZORAM,AIZAWL,TLANGNUAM,0,69,0,69
MIZORAM,AIZAWL,ZAWLNUAM,0,40,0,40
MIZORAM,CHHIMTUIPUI,CHAWNGTE,0,9,0,9
MIZORAM,CHHIMTUIPUI,LAWNGTLAI,0,32,0,32
MIZORAM,CHHIMTUIPUI,SANGAU,0,28,0,28
MIZORAM,CHHIMTUIPUI,TUIPANG,0,125,0,125
MIZORAM,LUNGLEI,BUNGHMUN,0,42,0,42
MIZORAM,LUNGLEI,HNAHTHIAL,0,153,0,153
MIZORAM,LUNGLEI,LUNGLEI,0,195,0,195
MIZORAM,LUNGLEI,LUNGSEN,0,244,0,244
MIZORAM,LUNGLEI,VILL1,NA,NA,NA,NA
NAGALAND,KOHIMA,JALUKIE,0,982,0,982
NAGALAND,KOHIMA,KOHIMA,0,806,0,806
NAGALAND,KOHIMA,KUHUBOTO,0,354,0,354
NAGALAND,KOHIMA,MEDZIPHEMA,0,312,0,312
NAGALAND,KOHIMA,TSEMINYU,0,304,0,304
NAGALAND,MOKOKCHUNG,CHANGTONGYA,0,854,0,854
NAGALAND,MOKOKCHUNG,MANGOLEMBA,0,400,0,400
NAGALAND,MOKOKCHUNG,ONGPANGKONG,0,560,0,560
NAGALAND,MON,CHEN,0,154,0,154
NAGALAND,MON,MON,0,418,0,418
NAGALAND,MON,TOBU,0,115,0,115
NAGALAND,MON,WAKCHING,0,98,0,98
NAGALAND,PHEK,KIKRUMA,0,2650,0,2650
NAGALAND,PHEK,MELURI,0,373,0,373
NAGALAND,PHEK,PHEK,0,1026,0,1026
NAGALAND,TUENSANG,KIPHIRE,0,413,0,413
NAGALAND,TUENSANG,LONGKHIM,0,484,0,484
NAGALAND,TUENSANG,LONGLENG,0,196,0,196
NAGALAND,TUENSANG,NOKLAK,0,420,0,420
NAGALAND,TUENSANG,SANGSANGYU,0,364,0,364
NAGALAND,TUENSANG,SHAMATOR,0,330,0,330
NAGALAND,TUENSANG,SITIMI,0,231,0,231
NAGALAND,WOKHA,BAGHTY,0,901,0,901
NAGALAND,WOKHA,WOKHA,0,360,0,360
NAGALAND,ZUNHEBOTO,AKULUTO,0,470,0,470
NAGALAND,ZUNHEBOTO,GHATASHI,0,89,0,89
NAGALAND,ZUNHEBOTO,TOKIYE,0,132,0,132
NAGALAND,ZUNHEBOTO,ZUNHEBOTO,0,263,0,263
ORISSA,ANGUL,ANUGUL,0,31,0,31
ORISSA,ANGUL,ATHAMALLICK,1,33,0,34
ORISSA,ANGUL,BANANPULA,0,8,0,8
ORISSA,ANGUL,CHHENDIAPADA,1,50,0,51
ORISSA,ANGUL,KANIHA,0,7,0,7
ORISSA,ANGUL,KISONAGAR,0,24,0,24
ORISSA,ANGUL,PALALAHARA,0,48,0,48
ORISSA,ANGUL,TALCHER,0,8,0,8
ORISSA,BALASORE,BAHANAGA,0,2,0,2
ORISSA,BALASORE,BALASORE,0,3,0,3
ORISSA,BALASORE,BALIPAL,NA,NA,NA,NA
ORISSA,BALASORE,BASTA,0,5,0,5
ORISSA,BALASORE,BHOGARAI,NA,NA,NA,NA
ORISSA,BALASORE,JALESWAR,0,17,0,17
ORISSA,BALASORE,JILGIRI,2,45,0,47
ORISSA,BALASORE,KHAIRA,0,13,0,13
ORISSA,BALASORE,OUPADA,0,10,0,10
ORISSA,BALASORE,REMUNA,0,2,0,2
ORISSA,BALASORE,SIMULIA,NA,NA,NA,NA
ORISSA,BALASORE,SORO,0,3,0,3
ORISSA,BARAGARH,AMBABHANA,1,121,0,122
ORISSA,BARAGARH,ATABIRA,23,62,0,85
ORISSA,BARAGARH,BARAGARH,8,61,0,69
ORISSA,BARAGARH,BARAPALI,21,110,0,131
ORISSA,BARAGARH,BHATALI,5,263,0,268
ORISSA,BARAGARH,BHENDENI,104,2,0,106
ORISSA,BARAGARH,BIJEPUR,0,66,0,66
ORISSA,BARAGARH,GAISILAT,0,593,0,593
ORISSA,BARAGARH,JHARABANDHA,18,235,0,253
ORISSA,BARAGARH,PADMAPUR,1,518,0,519
ORISSA,BARAGARH,PAIKMAL,0,168,0,168
ORISSA,BARAGARH,SOHELA,0,127,0,127
ORISSA,BHADRAK,BASUDEVPUR,2,1,0,3
ORISSA,BHADRAK,BHADRAK,1,3,0,4
ORISSA,BHADRAK,BHANDARIPOKHARI,NA,NA,NA,NA
