-----
{
 "description": "The table refers to block wise potential utilized through dugwells. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.14.csv", 
 "title": "Download CSV for Block wise Irrigation potential utilised through Dugwells for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.14.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to constraints. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.16.csv", 
 "title": "Download CSV for Block wise Dugwells according to the constraints for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.16.csv"
}
-----
-----
{
 "description": "The table refers to village wise distribution of dugwells according to construction over the years. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "villdgwltab1.1.csv", 
 "title": "Download CSV for Village wise Construction of Dugwells over the years for 2nd census of minor irrigation schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villdgwltab1.1.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to horse power of lifting device. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.10_1.csv", 
 "title": "Download CSV for Block wise Dugwells according to horse power of lifting device for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.10_1.csv"
}
-----
-----
{
 "description": "The table refers to village wise distribution of dugwells according to ownership. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "villdgwltab1.2.csv", 
 "title": "Download CSV for Village wise Distribution of Dugwells according to ownership for 2nd census of minor irrigation schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villdgwltab1.2.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to average length of water conveyance channel. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.12.csv", 
 "title": "Download CSV for Block wise Dugwells Average length of water conveyance channel for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.12.csv"
}
-----
"State","District","Block","Total number of dugwells","Average length of channels - Pucca","Average length of channels - Kuccha","Average length of channels - Underground"
"MADHYA PRADESH","JHABUA","PETALAWAD",4673,18,18,17
"MADHYA PRADESH","JHABUA","RAMA",1234,0,21,12
"MADHYA PRADESH","JHABUA","RANAPUR",900,0,7,0
"MADHYA PRADESH","JHABUA","SONDWA",207,0,32,15
"MADHYA PRADESH","JHABUA","THANDLA",2074,0,42,10
"MADHYA PRADESH","JHABUA","UDAIGARH",706,0,29,0
"MADHYA PRADESH","KHANDWA","BALDEE",3488,6,63,54
"MADHYA PRADESH","KHANDWA","BURHANPUR",8114,3,115,70
"MADHYA PRADESH","KHANDWA","CHHAIGAON MAKHAN",7456,0,48,5
"MADHYA PRADESH","KHANDWA","HARSUD",3537,0,96,2
"MADHYA PRADESH","KHANDWA","KHAKNER",4974,2,73,26
"MADHYA PRADESH","KHANDWA","KHALWA",5591,0,94,2
"MADHYA PRADESH","KHANDWA","KHANDWA",6026,1,51,7
"MADHYA PRADESH","KHANDWA","PANDHANA",7565,0,50,6
"MADHYA PRADESH","KHANDWA","PUNASA",7701,1,66,3
"MADHYA PRADESH","KHARGONE","BADWAH",10451,0,48,13
"MADHYA PRADESH","KHARGONE","BADWANI",3984,0,64,10
"MADHYA PRADESH","KHARGONE","BHAGWANPURA",1948,0,12,6
"MADHYA PRADESH","KHARGONE","BHEEKANGAON",6212,1,41,21
"MADHYA PRADESH","KHARGONE","GOGAWAN",3819,0,45,36
"MADHYA PRADESH","KHARGONE","JHIRANYA",2321,0,94,7
"MADHYA PRADESH","KHARGONE","KASRAWAD",7085,0,28,6
"MADHYA PRADESH","KHARGONE","KHARGONE",4308,1,50,13
"MADHYA PRADESH","KHARGONE","MAHESHWAR",7396,0,25,2
"MADHYA PRADESH","KHARGONE","NIWALI",1351,0,15,0
"MADHYA PRADESH","KHARGONE","PANSEMAL",2668,0,23,0
"MADHYA PRADESH","KHARGONE","PATEE",499,0,22,0
"MADHYA PRADESH","KHARGONE","RAJPUR",4801,1,58,8
"MADHYA PRADESH","KHARGONE","SEGAON",2309,0,76,18
"MADHYA PRADESH","KHARGONE","SENDHWA",3010,3,51,5
"MADHYA PRADESH","KHARGONE","THIKARI",5143,1,73,4
"MADHYA PRADESH","MANDLA","AMARPUR",55,0,28,3
"MADHYA PRADESH","MANDLA","BAJANG",NA,NA,NA,NA
"MADHYA PRADESH","MANDLA","BEEJADANDI",NA,NA,NA,NA
"MADHYA PRADESH","MANDLA","BICHHIYA",272,0,23,2
"MADHYA PRADESH","MANDLA","DINDORI",3,0,35,0
"MADHYA PRADESH","MANDLA","GHUGHARI",37,1,18,0
"MADHYA PRADESH","MANDLA","KARANJIYA",49,0,8,0
"MADHYA PRADESH","MANDLA","MANDLA",764,1,48,1
"MADHYA PRADESH","MANDLA","MAWAI",19,0,14,0
"MADHYA PRADESH","MANDLA","MEHADWANI",2,0,10,0
"MADHYA PRADESH","MANDLA","MOHGAON",166,0,44,1
"MADHYA PRADESH","MANDLA","MOWAS",39,0,24,1
"MADHYA PRADESH","MANDLA","NAINPUR",430,0,22,4
"MADHYA PRADESH","MANDLA","NARAYANGANJ",25,0,71,0
"MADHYA PRADESH","MANDLA","SAMNAPUR",26,0,17,0
"MADHYA PRADESH","MANDLA","SHAHPURA",150,0,42,29
"MADHYA PRADESH","MANDSAUR","BHANPURA",7271,1,20,8
"MADHYA PRADESH","MANDSAUR","GAROTH",15842,1,25,4
"MADHYA PRADESH","MANDSAUR","JAWAD",12764,1,32,6
"MADHYA PRADESH","MANDSAUR","MALHARGARH",14273,0,30,5
"MADHYA PRADESH","MANDSAUR","MANASA",14479,2,22,6
"MADHYA PRADESH","MANDSAUR","MANDSAUR",25390,1,39,7
"MADHYA PRADESH","MANDSAUR","NEEMACH",12788,0,20,12
"MADHYA PRADESH","MANDSAUR","SITAMAU",20730,0,37,9
"MADHYA PRADESH","MORENA","AMBAH",1861,0,170,0
"MADHYA PRADESH","MORENA","JAURA",1902,0,140,0
"MADHYA PRADESH","MORENA","KAILARAS",2343,0,77,0
"MADHYA PRADESH","MORENA","KARAHAL",134,0,33,0
"MADHYA PRADESH","MORENA","MORENA",3286,1,113,0
"MADHYA PRADESH","MORENA","PAHARGARH",712,0,65,7
"MADHYA PRADESH","MORENA","PAROSA",1575,1,103,0
"MADHYA PRADESH","MORENA","SABALGARH",2961,1,59,2
"MADHYA PRADESH","MORENA","SHEOPUR KALAN",509,0,67,0
"MADHYA PRADESH","MORENA","VIJAIPUR",3069,1,44,0
"MADHYA PRADESH","NARSIMHAPUR","BABAICHICHALI",3607,0,19,70
"MADHYA PRADESH","NARSIMHAPUR","CHANWARPATHA",3456,0,11,158
"MADHYA PRADESH","NARSIMHAPUR","GOTEGAON",2421,1,7,141
"MADHYA PRADESH","NARSIMHAPUR","KARELI",3201,0,21,163
"MADHYA PRADESH","NARSIMHAPUR","NARSINGHPUR",3424,0,11,167
"MADHYA PRADESH","NARSIMHAPUR","SAINKHEDA",2475,0,43,110
"MADHYA PRADESH","PANNA","AJAIGARH",3058,0,126,0
"MADHYA PRADESH","PANNA","GUNNAUR",367,10,56,29
"MADHYA PRADESH","PANNA","PANNA",612,1,39,1
"MADHYA PRADESH","PANNA","PAWAI",434,0,66,35
"MADHYA PRADESH","PANNA","SHAHNAGAR",564,3,84,14
"MADHYA PRADESH","RAIGARH","BAGEECHA",NA,NA,NA,NA
"MADHYA PRADESH","RAIGARH","CHARGHODA",307,0,7,0
"MADHYA PRADESH","RAIGARH","DHARAMJAIGARH",311,0,11,0
"MADHYA PRADESH","RAIGARH","DULDHLA",NA,NA,NA,NA
"MADHYA PRADESH","RAIGARH","JASHPURNAGAR",1118,0,63,0
"MADHYA PRADESH","RAIGARH","KANSABEL",927,0,10,0
"MADHYA PRADESH","RAIGARH","KHARASIYA",398,0,2,0
"MADHYA PRADESH","RAIGARH","KUNKURI",2205,0,8,0
"MADHYA PRADESH","RAIGARH","LALLUNGA",1059,0,10,0
"MADHYA PRADESH","RAIGARH","NANORA",59,0,2,0
"MADHYA PRADESH","RAIGARH","PATTHALGAON",1784,0,9,0
"MADHYA PRADESH","RAIGARH","PUSAUR",69,0,0,0
"MADHYA PRADESH","RAIGARH","RAIGARH",73,0,9,0
"MADHYA PRADESH","RAIGARH","SARANGARH",929,0,1,0
"MADHYA PRADESH","RAIGARH","SARIYALENDHA",775,0,4,0
"MADHYA PRADESH","RAIGARH","TAMNAR",589,0,13,0
"MADHYA PRADESH","RAIGARH","TAPKARA",1482,0,13,0
"MADHYA PRADESH","RAIPUR","ABHANPUR",1911,2,14,0
"MADHYA PRADESH","RAIPUR","BAGBAHRA",2404,0,3,0
"MADHYA PRADESH","RAIPUR","BASNA",1073,0,9,0
"MADHYA PRADESH","RAIPUR","BHATAPARA",140,0,33,1
"MADHYA PRADESH","RAIPUR","BILAIGARH",1006,0,10,0
"MADHYA PRADESH","RAIPUR","CHANDKHURAI(ARANG)",1211,1,16,0
"MADHYA PRADESH","RAIPUR","CHHURA",1246,0,7,0
"MADHYA PRADESH","RAIPUR","DEOBHOG",1407,0,10,0
"MADHYA PRADESH","RAIPUR","DHAMTARI",1473,0,33,0
"MADHYA PRADESH","RAIPUR","GARIYABAND",641,1,22,0
"MADHYA PRADESH","RAIPUR","KASDOL",3226,0,5,0
"MADHYA PRADESH","RAIPUR","KURUD",1570,1,8,0
"MADHYA PRADESH","RAIPUR","MAGARLOD",1244,1,11,0
"MADHYA PRADESH","RAIPUR","MAHASAMUND",633,1,11,1
"MADHYA PRADESH","RAIPUR","MAINPUR",816,1,15,0
"MADHYA PRADESH","RAIPUR","PALARI",2123,0,4,0
"MADHYA PRADESH","RAIPUR","PALARI(BALODABAZAR)",2410,0,8,0
"MADHYA PRADESH","RAIPUR","PITHORA",1530,1,8,0
"MADHYA PRADESH","RAIPUR","RAIPUR(DHARSIWA)",694,6,46,7
"MADHYA PRADESH","RAIPUR","RAJIM",2384,0,9,0
"MADHYA PRADESH","RAIPUR","SARAIPALI",753,0,7,0
"MADHYA PRADESH","RAIPUR","SIHAWA",1085,0,9,4
"MADHYA PRADESH","RAIPUR","SIMGA",485,1,9,0
"MADHYA PRADESH","RAIPUR","TILDA",1096,1,15,0
"MADHYA PRADESH","RAISEN","BARELI",1238,1,35,39
"MADHYA PRADESH","RAISEN","BEGAMGANJ",1725,0,1,194
"MADHYA PRADESH","RAISEN","GAIRATGANJ",806,0,0,73
"MADHYA PRADESH","RAISEN","OBEDULLAHGANJ",237,0,39,129
"MADHYA PRADESH","RAISEN","SANCHI",498,0,10,109
"MADHYA PRADESH","RAISEN","SILWANI",1402,0,1,153
"MADHYA PRADESH","RAISEN","UDAIPURA",1694,4,8,126
"MADHYA PRADESH","RAJGARH","BIAORA",10305,0,44,19
"MADHYA PRADESH","RAJGARH","JEERAPUR",8089,0,18,4
"MADHYA PRADESH","RAJGARH","KHILCHIPUR",7416,0,122,0
"MADHYA PRADESH","RAJGARH","NARASINGHGARH",9761,1,237,7
"MADHYA PRADESH","RAJGARH","PACHAUR (SARANGPUR)",8388,16,64,29
"MADHYA PRADESH","RAJGARH","RAJGARH",8811,0,43,1
"MADHYA PRADESH","RAJNANDGAON","BODLA",217,0,14,0
"MADHYA PRADESH","RAJNANDGAON","CHAUKI",863,0,11,0
"MADHYA PRADESH","RAJNANDGAON","CHHUIKHANDAN",621,0,22,0
"MADHYA PRADESH","RAJNANDGAON","CHHURIA",132,0,12,0
"MADHYA PRADESH","RAJNANDGAON","DOMGARGARH",937,2,17,0
"MADHYA PRADESH","RAJNANDGAON","DONGARGAON",526,5,25,1
"MADHYA PRADESH","RAJNANDGAON","KAWARDHA",290,0,63,9
"MADHYA PRADESH","RAJNANDGAON","KHALRAGARH",542,0,28,0
"MADHYA PRADESH","RAJNANDGAON","MANPUR",20,0,4,1
"MADHYA PRADESH","RAJNANDGAON","MOHLA",734,0,3,0
"MADHYA PRADESH","RAJNANDGAON","RAJNANDGAON",776,6,12,0
"MADHYA PRADESH","RAJNANDGAON","SAHASPURLOHARA",455,0,23,0
"MADHYA PRADESH","RATLAM","ALOT",8734,0,73,16
"MADHYA PRADESH","RATLAM","BAJNA",4519,3,91,21
"MADHYA PRADESH","RATLAM","JAWRA",10365,1,39,6
"MADHYA PRADESH","RATLAM","PIPLODA",6837,0,36,9
"MADHYA PRADESH","RATLAM","RATLAM",10675,1,38,11
"MADHYA PRADESH","RATLAM","SAILANA",5442,0,30,9
"MADHYA PRADESH","REWA","GANGEO",674,0,122,0
"MADHYA PRADESH","REWA","HANUMANA",625,0,37,0
"MADHYA PRADESH","REWA","JAWA",1158,0,43,0
"MADHYA PRADESH","REWA","MAUGANJ",488,1,50,1
"MADHYA PRADESH","REWA","NAIGARHI",586,0,112,0
"MADHYA PRADESH","REWA","RAIPUR",1119,0,30,0
"MADHYA PRADESH","REWA","REWA",1227,0,92,6
"MADHYA PRADESH","REWA","SIRMAUR",1886,0,98,0
"MADHYA PRADESH","REWA","TYONTHAR",2918,0,113,5
"MADHYA PRADESH","SAGAR","BANDA",3030,5,8,70
"MADHYA PRADESH","SAGAR","BEENA",620,0,5,126
"MADHYA PRADESH","SAGAR","DEORI",3306,11,11,84
"MADHYA PRADESH","SAGAR","JAISINAGAR",2857,0,11,85
"MADHYA PRADESH","SAGAR","KESALI",2808,0,9,22
"MADHYA PRADESH","SAGAR","KHURAI",1862,0,13,118
"MADHYA PRADESH","SAGAR","MALTHON",948,2,9,114
"MADHYA PRADESH","SAGAR","RAHATGARH",2508,8,23,34
"MADHYA PRADESH","SAGAR","REHALI",2942,1,13,31
"MADHYA PRADESH","SAGAR","SAGAR",5761,0,29,55
"MADHYA PRADESH","SAGAR","SHAHGARH",1158,0,9,11
"MADHYA PRADESH","SATNA","AMARPATAN",932,2,88,1
"MADHYA PRADESH","SATNA","CHITRAKOOT",1984,0,94,0
"MADHYA PRADESH","SATNA","MAIHAR",1944,1,105,0
"MADHYA PRADESH","SATNA","NAGOD",2463,1,47,3
"MADHYA PRADESH","SATNA","RAMNAGAR",663,0,52,3
"MADHYA PRADESH","SATNA","RAMPUR",2265,1,71,1
"MADHYA PRADESH","SATNA","SATNA",1279,1,60,12
"MADHYA PRADESH","SATNA","UNCHEHARA",2031,0,113,1
"MADHYA PRADESH","SEHORE","AASHTA",6904,0,13,64
"MADHYA PRADESH","SEHORE","BUDANI",2410,2,138,80
"MADHYA PRADESH","SEHORE","ICHHAWER",4488,0,5,60
"MADHYA PRADESH","SEHORE","NASRULLAHGANJ",4109,6,33,25
"MADHYA PRADESH","SEHORE","SIHORE",9121,0,17,6
"MADHYA PRADESH","SEONI","BARGHAT",1291,0,11,0
"MADHYA PRADESH","SEONI","CHHAPARA",1643,0,30,3
"MADHYA PRADESH","SEONI","DHANORA",503,0,16,6
"MADHYA PRADESH","SEONI","KAHANAPUS",500,1,10,9
"MADHYA PRADESH","SEONI","KEOLARI",461,0,16,0
"MADHYA PRADESH","SEONI","KURAI",1829,0,20,0
"MADHYA PRADESH","SEONI","LAKHNADAUN",1650,0,12,2
"MADHYA PRADESH","SEONI","SEONI",3617,0,22,0
"MADHYA PRADESH","SHAHDOL","ANUPPUR",3,0,7,47
"MADHYA PRADESH","SHAHDOL","BUDHAR",279,0,35,5
"MADHYA PRADESH","SHAHDOL","BYOHARI",744,0,38,0
"MADHYA PRADESH","SHAHDOL","JAISINGHNAGAR",993,0,25,0
"MADHYA PRADESH","SHAHDOL","JAITAHARI",972,0,33,2
"MADHYA PRADESH","SHAHDOL","KOTAMA",40,0,27,0
"MADHYA PRADESH","SHAHDOL","MANPUR",745,1,109,6
"MADHYA PRADESH","SHAHDOL","PALEE-1",162,0,63,5
"MADHYA PRADESH","SHAHDOL","PALEE-2",68,0,115,24
"MADHYA PRADESH","SHAHDOL","PUSHPRAJGARH",218,0,18,3
"MADHYA PRADESH","SHAHDOL","SOHAGPUR",367,3,66,1
"MADHYA PRADESH","SHAHDOL","UMARIYA",959,3,63,1
"MADHYA PRADESH","SHAJAPUR","AGAR",4216,1,52,38
"MADHYA PRADESH","SHAJAPUR","BAROD",5036,0,39,14
"MADHYA PRADESH","SHAJAPUR","KALAPIPALMANDI",4957,2,84,98
"MADHYA PRADESH","SHAJAPUR","MOMANBARODIYA",6936,1,18,85
"MADHYA PRADESH","SHAJAPUR","NALKHEDA",4745,0,87,9
"MADHYA PRADESH","SHAJAPUR","SHAJAPUR",5593,1,35,84
"MADHYA PRADESH","SHAJAPUR","SUJALPUR",4536,1,6,170
"MADHYA PRADESH","SHAJAPUR","SUSNER",6896,0,38,22
"MADHYA PRADESH","SHIVPURI","BADARWAS",3079,7,37,3
"MADHYA PRADESH","SHIVPURI","KARERA",7820,3,26,0
"MADHYA PRADESH","SHIVPURI","KHANIYADHANA",10496,0,27,0
"MADHYA PRADESH","SHIVPURI","KOLARAS",2126,0,24,1
"MADHYA PRADESH","SHIVPURI","NARWAR",5673,0,61,0
"MADHYA PRADESH","SHIVPURI","PICHHORE",9098,0,43,0
"MADHYA PRADESH","SHIVPURI","POHARI",3163,0,58,0
"MADHYA PRADESH","SHIVPURI","SHIVPURI",3737,1,84,4
"MADHYA PRADESH","SIDHI","BAIDHAN",2708,0,78,4
"MADHYA PRADESH","SIDHI","CHITRANGI",702,0,18,5
"MADHYA PRADESH","SIDHI","DEOSAR",957,0,37,0
"MADHYA PRADESH","SIDHI","KUSAMI",81,0,132,0
"MADHYA PRADESH","SIDHI","MAJHAULI",591,0,58,0
"MADHYA PRADESH","SIDHI","RAMPURNEKIN",1053,0,48,0
"MADHYA PRADESH","SIDHI","SIDHI",1134,0,58,4
"MADHYA PRADESH","SIDHI","SIHAWAL",948,0,40,1
"MADHYA PRADESH","SURGUJA","AMBIKAPUR",2064,0,22,0
"MADHYA PRADESH","SURGUJA","BADRAFNAGAR",2567,0,5,0
"MADHYA PRADESH","SURGUJA","BAIKUNTHPUR",3884,0,19,0
"MADHYA PRADESH","SURGUJA","BALRAMPUR",986,0,20,0
"MADHYA PRADESH","SURGUJA","BATOLI",1301,0,15,0
"MADHYA PRADESH","SURGUJA","BHAIYATHAN",3373,0,4,0
"MADHYA PRADESH","SURGUJA","BHARATPUR",1556,0,18,0
"MADHYA PRADESH","SURGUJA","KHARGAWAN",1112,0,0,0
"MADHYA PRADESH","SURGUJA","KUSAMI",23,0,0,0
"MADHYA PRADESH","SURGUJA","LAKHANPUR",1584,0,9,0
"MADHYA PRADESH","SURGUJA","LUNDRA",990,0,17,0
"MADHYA PRADESH","SURGUJA","MAINPAT",384,0,5,0
"MADHYA PRADESH","SURGUJA","MANENDRAGARH",199,0,0,0
"MADHYA PRADESH","SURGUJA","ODAGI",871,0,15,0
"MADHYA PRADESH","SURGUJA","PRATAPPUR",1568,0,17,0
"MADHYA PRADESH","SURGUJA","PREMNAGAR",260,0,0,0
"MADHYA PRADESH","SURGUJA","RAJPUR",1617,0,7,0
"MADHYA PRADESH","SURGUJA","RAMANUJNAGAR",3114,0,8,0
"MADHYA PRADESH","SURGUJA","RAMCHANDRAPUR",1378,0,3,0
"MADHYA PRADESH","SURGUJA","SHANKARGARH",53,0,0,0
"MADHYA PRADESH","SURGUJA","SITAPUR",1373,0,19,0
"MADHYA PRADESH","SURGUJA","SONHAT",546,0,17,0
"MADHYA PRADESH","SURGUJA","SURAJPUR",7781,0,8,0
"MADHYA PRADESH","SURGUJA","UDAYPUR",850,0,7,0
"MADHYA PRADESH","TIKAMGARH","BALDEOGARH",6976,0,22,0
"MADHYA PRADESH","TIKAMGARH","JATARA",4471,0,18,0
"MADHYA PRADESH","TIKAMGARH","NIWARI",8027,0,21,0
"MADHYA PRADESH","TIKAMGARH","PALERA",5788,1,19,0
"MADHYA PRADESH","TIKAMGARH","PRITHWIPUR",11071,0,22,0
"MADHYA PRADESH","TIKAMGARH","TIKAMGARH",7285,1,47,0
"MADHYA PRADESH","UJJAIN","BADNAGAR",3423,1,29,24
"MADHYA PRADESH","UJJAIN","GHATIYA",NA,NA,NA,NA
"MADHYA PRADESH","UJJAIN","KHACHRAUD",8895,0,10,42
"MADHYA PRADESH","UJJAIN","MAHIDPUR",8590,1,10,67
"MADHYA PRADESH","UJJAIN","TARANA",7053,6,32,4
"MADHYA PRADESH","UJJAIN","UJJAIN",4636,1,19,31
"MADHYA PRADESH","VIDISHA","BASODA",2599,1,31,97
"MADHYA PRADESH","VIDISHA","GYARASPUR",1546,0,1,169
"MADHYA PRADESH","VIDISHA","KURWAI",867,0,5,190
"MADHYA PRADESH","VIDISHA","LATERI",1064,0,67,45
"MADHYA PRADESH","VIDISHA","NATERAN",2378,0,15,25
"MADHYA PRADESH","VIDISHA","SIRONJ",741,0,28,42
"MADHYA PRADESH","VIDISHA","VIDISHA",871,0,16,117
"MAHARASHTRA","","",NA,NA,NA,NA
"MANIPUR","BISHNUPUR","BISHNUPUR",NA,NA,NA,NA
"MANIPUR","BISHNUPUR","MOIRANG",NA,NA,NA,NA
"MANIPUR","CHANDEL","CHAKPIKARONG",NA,NA,NA,NA
"MANIPUR","CHANDEL","CHANDEL",NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR","CHURACHANDPUR",NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR","HENGLEP",NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR","SINGHAT",NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR","THANGLON",NA,NA,NA,NA
"MANIPUR","IMPHAL","HAORANGSABAL(I-W)",NA,NA,NA,NA
"MANIPUR","IMPHAL","IRILBUNG(IMPHAL-E)",NA,NA,NA,NA
"MANIPUR","IMPHAL","SWOMBUNG(IMPHAL-E)",NA,NA,NA,NA
"MANIPUR","IMPHAL","WAQNGOI(I-W)",NA,NA,NA,NA
"MANIPUR","SENAPATI","KANGPOKPI",NA,NA,NA,NA
"MANIPUR","SENAPATI","PAOMATA",NA,NA,NA,NA
"MANIPUR","SENAPATI","PURUL",NA,NA,NA,NA
"MANIPUR","SENAPATI","SAIKHUL",NA,NA,NA,NA
"MANIPUR","SENAPATI","TADUBI",NA,NA,NA,NA
"MANIPUR","TAMENGLONG","NUNGBA",NA,NA,NA,NA
"MANIPUR","TAMENGLONG","TAMEI",NA,NA,NA,NA
"MANIPUR","TAMENGLONG","TAMENGLONG",NA,NA,NA,NA
"MANIPUR","THOUBAL","KAKCHING",NA,NA,NA,NA
"MANIPUR","THOUBAL","THOUBAL",NA,NA,NA,NA
"MANIPUR","UKHRUL","CHINGAI",NA,NA,NA,NA
"MANIPUR","UKHRUL","KAMJONG",NA,NA,NA,NA
"MANIPUR","UKHRUL","PHUNGYAR",NA,NA,NA,NA
"MANIPUR","UKHRUL","UKHRUL",NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS","DAMBO RONGJENG",NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS","RESU-BELPARA",NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS","SAMANDA.",NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS","SONGSAK",NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS","MAWKYNREW",NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS","MAWPHLANG",NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS","MAWRYNGKNENG",NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS","MAWSYNRAM",NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS","MYLLIEM",NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS","PYNURSLA",NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS","SHELLA BHOLAGANGH",NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS","AMLAREM",NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS","KHLIEHRIAT",NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS","LASKEIN",NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS","THADLASKEIN",NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT","UMLING  C&D BLOCK",NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT","UMSNING C&D BLOCK",NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS","BAGHMARA",NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS","CHOKPOT",NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS","RONGRA",2,0,5,0
"MEGHALAYA","WEST GARO HILLS","BETASING",NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS","DADENGGIRI",NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS","DALUS",NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS","RONGRAM",NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS","SELSELLA",NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS","TIKKIRKILLA",NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS","ZIKZAK",NA,NA,NA,NA
"MEGHALAYA","WEST KHASI HILLS","MAIRANG",NA,NA,NA,NA
"MEGHALAYA","WEST KHASI HILLS","MAWKYRWAT",NA,NA,NA,NA
"MEGHALAYA","WEST KHASI HILLS","MAWSHYNRUT",NA,NA,NA,NA
"MEGHALAYA","WEST KHASI HILLS","NONGSTOIN",NA,NA,NA,NA
"MEGHALAYA","WEST KHASI HILLS","RANIKOR",NA,NA,NA,NA
"MIZORAM","AIZAWL","AIBAWK",15,0,42,0
"MIZORAM","AIZAWL","DARLAWN",NA,NA,NA,NA
"MIZORAM","AIZAWL","KHAWZAWL",NA,NA,NA,NA
"MIZORAM","AIZAWL","LUNGDAR 'E'",NA,NA,NA,NA
"MIZORAM","AIZAWL","NGOPA",15,0,684,0
"MIZORAM","AIZAWL","PHAILENG 'W'",5,0,147,0
"MIZORAM","AIZAWL","REIEK",8,163,22,0
"MIZORAM","AIZAWL","SERCHHIP",11,9,95,0
"MIZORAM","AIZAWL","THINGDAWL",64,0,70,0
"MIZORAM","AIZAWL","THINGSULTHLIAH",NA,NA,NA,NA
"MIZORAM","AIZAWL","TLANGNUAM",138,111,25,0
"MIZORAM","AIZAWL","ZAWLNUAM",27,60,82,0
"MIZORAM","CHHIMTUIPUI","CHAWNGTE",2,0,30,0
"MIZORAM","CHHIMTUIPUI","LAWNGTLAI",10,0,47,0
"MIZORAM","CHHIMTUIPUI","SANGAU",7,0,27,0
"MIZORAM","CHHIMTUIPUI","TUIPANG",12,0,37,0
"MIZORAM","LUNGLEI","BUNGHMUN",NA,NA,NA,NA
"MIZORAM","LUNGLEI","HNAHTHIAL",14,0,29,0
"MIZORAM","LUNGLEI","LUNGLEI",160,0,61,0
"MIZORAM","LUNGLEI","LUNGSEN",2,245,0,0
"MIZORAM","LUNGLEI","VILL1",NA,NA,NA,NA
"NAGALAND","KOHIMA","JALUKIE",NA,NA,NA,NA
"NAGALAND","KOHIMA","KOHIMA",NA,NA,NA,NA
"NAGALAND","KOHIMA","KUHUBOTO",186,3,4,0
"NAGALAND","KOHIMA","MEDZIPHEMA",334,6,2,0
"NAGALAND","KOHIMA","TSEMINYU",NA,NA,NA,NA
"NAGALAND","MOKOKCHUNG","CHANGTONGYA",NA,NA,NA,NA
"NAGALAND","MOKOKCHUNG","MANGOLEMBA",10,9,0,0
