-----
{
 "description": "The table refers to block wise average length of water conveyance channel of surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.12.csv", 
 "title": "Download CSV for Blockwise Average length of water conveyance channel of surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.12.csv"
}
-----
-----
{
 "description": "The table refers to block wise average length of water conveyance channel of surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.12.csv", 
 "title": "Download CSV for Blockwise Average length of water conveyance channel of surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.12.csv"
}
-----
"State","District","Block","Total Number of Schemes","Average length - Pucca channel","Average length - Kutcha channel","Average length - Underground channel"
"BIHAR","ROHTAS","DAWATH",1,0,0,200
"BIHAR","ROHTAS","DEHRI",3,0,10,0
"BIHAR","ROHTAS","KARGHAHAR",5,0,17,0
"BIHAR","ROHTAS","KUCHAI",10,0,86,0
"BIHAR","ROHTAS","NAWHATTA",5,10,0,40
"BIHAR","ROHTAS","NOKHA",2,0,100,0
"BIHAR","ROHTAS","ROHTAS",5,0,100,878
"BIHAR","ROHTAS","SASARAM",5,0,83,0
"BIHAR","ROHTAS","SHEOSAGAR",17,4,9,2
"BIHAR","SAHARSA","SAUR BAZAR",6,1475,5000,6000
"BIHAR","SAHARSA","SIMORI BAKHTIARPUR",4,388,0,0
"BIHAR","SAHEBGANJ","BARHAIT",3,0,3,500
"BIHAR","SAHEBGANJ","BARHARWA",935,1,162,104
"BIHAR","SAHEBGANJ","BORIO",302,0,73,0
"BIHAR","SAHEBGANJ","MANDRO",163,0,27,0
"BIHAR","SAHEBGANJ","PATHNA",130,10,48,15
"BIHAR","SAHEBGANJ","TALJHARI",121,0,87,0
"BIHAR","SAHEBGANJ","UDHUWA",264,84,9,0
"BIHAR","SAMASTIPUR","BIBHUTIPUR",4,0,80,33
"BIHAR","SAMASTIPUR","DALSINGHSARAI",8,0,240,765
"BIHAR","SAMASTIPUR","KALYANPUR",1,250,123,348
"BIHAR","SAMASTIPUR","KHANPUR",70,0,1733,0
"BIHAR","SAMASTIPUR","PATORI",2,0,0,5000
"BIHAR","SAMASTIPUR","PUSA",1,0,0,500
"BIHAR","SAMASTIPUR","ROSERA",4,0,0,0
"BIHAR","SAMASTIPUR","SAMASTIPUR",2,0,4000,5000
"BIHAR","SAMASTIPUR","SARAIRANJAN",1,50,80,100
"BIHAR","SAMASTIPUR","TAJPUR",6,0,0,2450
"BIHAR","SAMASTIPUR","UJIARPUR",3,17,133,0
"BIHAR","SAMASTIPUR","VIDHAYAPATI NAGAR",4,0,45,614
"BIHAR","SARAN","AMNOUR",3,0,110,0
"BIHAR","SARAN","DARIYAPUR",11,0,200,0
"BIHAR","SARAN","MANJHI",7,0,540,0
"BIHAR","SARAN","MASARAKH",1,0,75,0
"BIHAR","SARAN","SONEPUR",1,0,120,0
"BIHAR","SHEIKHPURA","ARIARI",3,0,22,0
"BIHAR","SHEIKHPURA","GHAT-KHUSUMBA",31,1,5736,4286
"BIHAR","SHEIKHPURA","SHEIKHPURA",1,0,200,0
"BIHAR","SHEOHAR","PIPRAHI",1,0,0,835
"BIHAR","SINGHBHUM EAST","BAHARAGORA",28,0,220,130
"BIHAR","SINGHBHUM EAST","CHAKULIA",92,5,81,4
"BIHAR","SINGHBHUM EAST","DHALBHUMGARH",24,1,115,0
"BIHAR","SINGHBHUM EAST","DUMARIA",17,6,25,0
"BIHAR","SINGHBHUM EAST","GHATSHILA",44,11,37,11
"BIHAR","SINGHBHUM EAST","JAMSHEDPUR",122,0,186,0
"BIHAR","SINGHBHUM EAST","MUSABANI",10,0,24,125
"BIHAR","SINGHBHUM EAST","PATAMDA",206,0,1178,861
"BIHAR","SINGHBHUM EAST","POTKA",10,100,920,1535
"BIHAR","SINGHBHUM WEST","BANDGAON",5,121,100,0
"BIHAR","SINGHBHUM WEST","CHAIBASA",7,0,0,0
"BIHAR","SINGHBHUM WEST","CHAKRADHARPUR",4,0,113,441
"BIHAR","SINGHBHUM WEST","CHANDIL",21,1,45,113
"BIHAR","SINGHBHUM WEST","GELKERA",1,0,25,0
"BIHAR","SINGHBHUM WEST","GUNHARIA",1,0,0,0
"BIHAR","SINGHBHUM WEST","JAGNNATHPUR",18,210,8,192
"BIHAR","SINGHBHUM WEST","JHINIKPANI",9,0,0,0
"BIHAR","SINGHBHUM WEST","KHANSOWAN",14,0,1007,0
"BIHAR","SINGHBHUM WEST","KHUNTPANI",6,13,0,13
"BIHAR","SINGHBHUM WEST","KUCHAI",10,130,15,293
"BIHAR","SINGHBHUM WEST","MAJHGAON",578,0,97,0
"BIHAR","SINGHBHUM WEST","MANOHARPUR",12,0,3,255
"BIHAR","SINGHBHUM WEST","NIMDIH",178,2,66,1
"BIHAR","SINGHBHUM WEST","NOAMUNDI",32,0,6,0
"BIHAR","SINGHBHUM WEST","RAJNAGAR",495,0,40,0
"BIHAR","SINGHBHUM WEST","SARAIKELA",15,50,0,110
"BIHAR","SINGHBHUM WEST","SONUA",21,0,0,0
"BIHAR","SINGHBHUM WEST","TANTNAGAR",97,0,43,1
"BIHAR","SINGHBHUM WEST","TONTO",49,0,11,0
"BIHAR","SITAMARHI","BAJAPATTI",3,300,4000,3000
"BIHAR","SITAMARHI","BATHNAHA",2,0,400,762
"BIHAR","SITAMARHI","DUMRA",7,667,125,83
"BIHAR","SITAMARHI","MEJARGANJ",3,0,0,500
"BIHAR","SITAMARHI","PARSAUNI",1,0,200,500
"BIHAR","SITAMARHI","PUPARI",2,0,100,225
"BIHAR","SITAMARHI","RIGA",6,0,623,110
"BIHAR","SITAMARHI","RUNISAIDPUR",13,25,1502,1291
"BIHAR","SITAMARHI","SONBARSA",6,0,3808,2667
"BIHAR","SITAMARHI","SUPPI",1,250,0,0
"BIHAR","SITAMARHI","SURSAND",5,417,2667,2400
"BIHAR","SIWAN","ANDAR",14,0,618,88
"BIHAR","SIWAN","BARHARIA",29,0,84,429
"BIHAR","SIWAN","DARAULI",16,0,129,0
"BIHAR","SIWAN","DARAUNDHA",4,200,0,0
"BIHAR","SIWAN","GORAIKOTHI",18,0,224,0
"BIHAR","SIWAN","GUTHANI",23,17,541,79
"BIHAR","SIWAN","HUSSAINGANJ",5,25,70,63
"BIHAR","SIWAN","MAHRAJGANJ",30,0,0,0
"BIHAR","SIWAN","MAIRWA",9,0,58,14
"BIHAR","SIWAN","RAGHUNATHPUR",2,0,150,100
"BIHAR","SIWAN","SISWAN",4,78,675,25
"BIHAR","SIWAN","SIWAN",3,0,67,0
"BIHAR","SUPAUL","BASANTPUR",1,0,8000,6000
"BIHAR","SUPAUL","CHHATAPUR",51,16,0,42
"BIHAR","SUPAUL","PIPRA",2,150,900,0
"BIHAR","SUPAUL","SUPAUL",7,277,385,0
"BIHAR","VAISHALI","BHAGWANPUR",1,68,2068,1550
"BIHAR","VAISHALI","GORAUL",2,0,0,140
"BIHAR","VAISHALI","JANDAHA",7,714,0,71
"BIHAR","VAISHALI","MAHNAR",3,33,2700,2067
"BIHAR","VAISHALI","MAHUA",5,0,0,210
"BIHAR","VAISHALI","PATEHRIBELSAR",2,0,4000,200
"BIHAR","VAISHALI","PATEPUR",2,0,0,0
"BIHAR","VAISHALI","PREMRAJ",1,205,0,0
"BIHAR","VAISHALI","VAISHALI",4,0,6150,4500
"GOA","NORTH GOA","BICHOLIM",73,4,80,133
"GOA","NORTH GOA","PERNEM",25,301,129,66
"GOA","NORTH GOA","PONDA",37,132,373,43
"GOA","NORTH GOA","SATARI",154,130,197,115
"GOA","NORTH GOA","TISWADI",13,92,40,0
"GOA","SOUTH GOA","CANACONA",105,13,57,0
"GOA","SOUTH GOA","MORMUGAO",20,0,151,75
"GOA","SOUTH GOA","QUEPEM",78,18,152,212
"GOA","SOUTH GOA","SALCETE",9,173,25,0
"GOA","SOUTH GOA","SANGUEM",238,131,148,134
"HARYANA","AMBALA","AMBALA",20,0,357,0
"HARYANA","AMBALA","NARAINGARH",12,0,283,0
"HARYANA","KAITHAL","KAITHAL",148,10,35,0
"HARYANA","KURUKSHETRA","SHAHBAD",2,195,0,0
"HIMACHAL PRADESH","Bilaspur","Bilaspur Sadar",15,242,255,0
"HIMACHAL PRADESH","Bilaspur","Ghumarwin",56,88,86,101
"HIMACHAL PRADESH","Bilaspur","Jhanduta",4,175,250,0
"HIMACHAL PRADESH","Bilaspur","Naina Devi",6,8,94,124
"HIMACHAL PRADESH","Chamba","Bhattiyat",4,0,0,231
"HIMACHAL PRADESH","Chamba","Chamba",2,600,0,200
"HIMACHAL PRADESH","Chamba","Sihunta",1,0,1000,5000
"HIMACHAL PRADESH","Hamirpur","Barsar",12,296,148,572
"HIMACHAL PRADESH","Hamirpur","Bhoranj",7,599,54,207
"HIMACHAL PRADESH","Hamirpur","Hamirpur",11,6887,419,206
"HIMACHAL PRADESH","Hamirpur","Nadaun",13,4345,5806,79
"HIMACHAL PRADESH","Hamirpur","Tira Sujanpur",7,203,18,46
"HIMACHAL PRADESH","Kangra","Baijnath",9,213,226,200
"HIMACHAL PRADESH","Kangra","Baroh",4,450,0,0
"HIMACHAL PRADESH","Kangra","Dera Gopipur",27,703,132,247
"HIMACHAL PRADESH","Kangra","Dhira",3,133,0,767
"HIMACHAL PRADESH","Kangra","Fatehpur",1,200,100,150
"HIMACHAL PRADESH","Kangra","Indora",6,815,177,287
"HIMACHAL PRADESH","Kangra","Jaisinghpur",5,1780,835,280
"HIMACHAL PRADESH","Kangra","Jaswan",1,0,0,1200
"HIMACHAL PRADESH","Kangra","Jawali",10,416,555,343
"HIMACHAL PRADESH","Kangra","Kangra",8,154,250,250
"HIMACHAL PRADESH","Kangra","Nurpur",19,386,214,913
"HIMACHAL PRADESH","Kangra","Palampur",22,452,348,23
"HIMACHAL PRADESH","Kangra","Rakkar",4,1975,484,0
"HIMACHAL PRADESH","Kangra","Thural",16,453,106,309
"HIMACHAL PRADESH","Kullu","Ani",1,50,0,0
"HIMACHAL PRADESH","Kullu","Kullu",9,32,100,0
"HIMACHAL PRADESH","Kullu","Nermand",1,50,0,0
"HIMACHAL PRADESH","Mandi","Aut",7,270,0,175
"HIMACHAL PRADESH","Mandi","Baldwara",6,92,57,443
"HIMACHAL PRADESH","Mandi","Chachyot",1,160,0,0
"HIMACHAL PRADESH","Mandi","Dharmpur",1,0,0,750
"HIMACHAL PRADESH","Mandi","Jogindarnagar",3,0,242,307
"HIMACHAL PRADESH","Mandi","Kotli",2,200,100,0
"HIMACHAL PRADESH","Mandi","Mandi",12,236,9,291
"HIMACHAL PRADESH","Mandi","Padhar",1,985,515,355
"HIMACHAL PRADESH","Mandi","Sandhol",3,196,144,705
"HIMACHAL PRADESH","Mandi","Sundarnagar",19,627,194,196
"HIMACHAL PRADESH","Shimla","Seoni",5,240,322,305
"HIMACHAL PRADESH","Shimla","Shimla",3,0,433,0
"HIMACHAL PRADESH","Shimla","Theog",2,500,250,0
"HIMACHAL PRADESH","Sirmaur","Nahan",24,428,543,1439
"HIMACHAL PRADESH","Sirmaur","Pachhad",1,0,0,2500
"HIMACHAL PRADESH","Sirmaur","Pajhota",1,0,200,0
"HIMACHAL PRADESH","Sirmaur","Paonta Sahib",24,167,64,2284
"HIMACHAL PRADESH","Sirmaur","Rajgarh",12,125,193,0
"HIMACHAL PRADESH","Solan","Arki",31,515,425,505
"HIMACHAL PRADESH","Solan","Kandaghat",18,48,338,88
"HIMACHAL PRADESH","Solan","Krishangarh",5,122,19,0
"HIMACHAL PRADESH","Solan","Nalagarh",47,170,423,928
"HIMACHAL PRADESH","Solan","Solan",27,176,440,274
"HIMACHAL PRADESH","Una","Amb",11,216,265,257
"HIMACHAL PRADESH","Una","Bangana",7,268,76,430
"HIMACHAL PRADESH","Una","Haroli",4,408,133,333
"HIMACHAL PRADESH","Una","Una",17,157,215,256
"JAMMU & KASHMIR","Anantnagh","Bijehara",3,200,310,NA
"JAMMU & KASHMIR","Anantnagh","Kulgam",9,400,530,NA
"JAMMU & KASHMIR","Baramulla","Baramulla",22,100,180,NA
"JAMMU & KASHMIR","Baramulla","Gurez",2,40,60,NA
"JAMMU & KASHMIR","Baramulla","Pattan",3,40,80,NA
"JAMMU & KASHMIR","Baramulla","Sonawari",74,220,440,NA
"JAMMU & KASHMIR","Baramulla","Sopore",5,50,140,NA
"JAMMU & KASHMIR","Jammu","Akhnoor",16,250,120,NA
"JAMMU & KASHMIR","Jammu","Bishna",4,62,60,NA
"JAMMU & KASHMIR","Jammu","Jammu",23,350,NA,NA
"JAMMU & KASHMIR","Jammu","Samba",4,50,40,NA
"JAMMU & KASHMIR","Kathua","Billawar",5,380,250,18
"JAMMU & KASHMIR","Kathua","Hiranagar",4,300,70,8
"JAMMU & KASHMIR","Kathua","Kathua",8,220,130,10
"JAMMU & KASHMIR","Kupwara","Kupwara",7,130,370,NA
"JAMMU & KASHMIR","Poonch","Mendhar",3,366,700,NA
"JAMMU & KASHMIR","Pulwama","Pampore",14,450,590,NA
"JAMMU & KASHMIR","Pulwama","Pulwana",33,550,570,NA
"JAMMU & KASHMIR","Pulwama","Tral",3,200,250,NA
"JAMMU & KASHMIR","Rajouri","Nowshera",6,130,60,7
"JAMMU & KASHMIR","Rajouri","Rajouri",17,320,180,20
"JAMMU & KASHMIR","Rajouri","Sunderbani",26,540,120,12
"JAMMU & KASHMIR","Srinagar","Ganderbal",17,130,90,NA
"JAMMU & KASHMIR","Srinagar","Srinagar",32,120,89,NA
"JAMMU & KASHMIR","Udhampur","Reasi",3,72,114,NA
"JAMMU & KASHMIR","Udhampur","Udhampur",8,200,234,NA
"KARNATAKA","BANGALORE RURAL","DEVANAHALLI",1,0,30,0
"KARNATAKA","BANGALORE RURAL","HOSAKOTE",1,0,0,0
"KARNATAKA","BANGALORE RURAL","KANAKAPURA",14,15,10,0
"KARNATAKA","BANGALORE RURAL","MAGADI",27,123,1,0
"KARNATAKA","BANGALORE RURAL","NELAMANGALA",19,3,0,35
"KARNATAKA","BANGALORE RURAL","RAMANAGARA",156,19,37,7
"KARNATAKA","BANGALORE URBAN","ANEKAL",11,6,31,0
"KARNATAKA","BANGALORE URBAN","BANGALORE NORTH",48,36,0,0
"KARNATAKA","BANGALORE URBAN","BANGALORE SOUTH",18,0,15,0
"KARNATAKA","BELGAUM","ATHNI",2688,411,206,1385
"KARNATAKA","BELGAUM","CHIKODI",2926,271,229,798
"KARNATAKA","BELGAUM","GOKAK",3484,176,35,512
"KARNATAKA","BELGAUM","KHANAPUR",686,4,12,127
"KARNATAKA","BELGAUM","RAMDURG",74,0,5,89
"KARNATAKA","BELGAUM","RAYBAG",549,46,339,673
"KARNATAKA","BELGAUM","SAMPGAON",1599,121,153,5
"KARNATAKA","BELLARY","BELLARY",331,113,22,78
"KARNATAKA","BELLARY","H.B. HALLY",829,38,0,0
"KARNATAKA","BELLARY","HADAGALI",158,178,167,165
"KARNATAKA","BELLARY","HARAPANA HALLI",567,0,0,0
"KARNATAKA","BELLARY","HOSPET",539,121,125,18
"KARNATAKA","BELLARY","KUDLIGI",44,6,0,0
"KARNATAKA","BELLARY","SIRAGUPPA",815,26,60,56
"KARNATAKA","BIDAR","AURAD",104,582,111,152
"KARNATAKA","BIDAR","BASAVA KALYANA",18,0,67,17
"KARNATAKA","BIDAR","BHALKI",237,60,121,30
"KARNATAKA","BIDAR","BIDAR",101,67,71,216
"KARNATAKA","BIJAPUR","BADAMI",853,155,95,114
"KARNATAKA","BIJAPUR","BAGALKOT",872,31,102,16
"KARNATAKA","BIJAPUR","BIJAPUR",1,4000,0,0
"KARNATAKA","BIJAPUR","BILGI",402,77,58,294
"KARNATAKA","BIJAPUR","HUNGUND",1151,72,17,373
"KARNATAKA","BIJAPUR","INDI",325,0,18,492
"KARNATAKA","BIJAPUR","JAMAKHANDI",1667,330,10,623
"KARNATAKA","BIJAPUR","MUDDEBIHAL",644,533,4,138
"KARNATAKA","BIJAPUR","MUDHOL",364,1293,396,1838
"KARNATAKA","BIJAPUR","SINDGI",38,135,4,0
"KARNATAKA","CHIKKAMAGALORE","KADUR",1,2500,1500,0
"KARNATAKA","CHIKKAMAGALORE","MUDIGERE",92,51,165,17
"KARNATAKA","CHIKKAMAGALORE","N.R. PURA",48,2,189,77
"KARNATAKA","CHIKKAMAGALORE","SRINGERE",89,1,42,12
"KARNATAKA","CHIKKAMAGALORE","TARIKERE",66,0,0,30
"KARNATAKA","CHITRADURGA","CHALLAKERE",44,0,67,7
"KARNATAKA","CHITRADURGA","CHITRADURGA",1,0,1,0
"KARNATAKA","CHITRADURGA","DAVANAGERE",100,25,165,1
"KARNATAKA","CHITRADURGA","HARIHAR",1056,166,47,231
"KARNATAKA","CHITRADURGA","HIRIYUR",33,0,120,29
"KARNATAKA","CHITRADURGA","HOSADURGA",61,10,122,1
"KARNATAKA","DAKSHINA KANNADA","BANTWAL",54,0,12,0
"KARNATAKA","DAKSHINA KANNADA","BELTHANGADY",41,0,81,192
"KARNATAKA","DAKSHINA KANNADA","KARKALA",248,5,29,2
"KARNATAKA","DAKSHINA KANNADA","MANGALORE",38,0,70,85
"KARNATAKA","DAKSHINA KANNADA","PUTTUR",57,11,105,11
"KARNATAKA","DAKSHINA KANNADA","SULLIA",14,1,4,122
"KARNATAKA","DAKSHINA KANNADA","UDUPI",79,0,63,4
"KARNATAKA","DHARWAR","HAVERI",829,24,49,109
"KARNATAKA","DHARWAR","HIREKERUR",2,0,80,40
"KARNATAKA","DHARWAR","KALGHATGI",1,0,450,0
"KARNATAKA","DHARWAR","MUNDARGI",400,0,19,0
"KARNATAKA","DHARWAR","NARAGUND",122,56,27,0
"KARNATAKA","DHARWAR","NAVALAGUND",568,2,13,280
"KARNATAKA","DHARWAR","RANIBENNUR",356,411,51,0
"KARNATAKA","DHARWAR","SAVANUR",162,0,574,3
"KARNATAKA","DHARWAR","SHIRAHATTI",296,0,0,1450
"KARNATAKA","GULBARGA","AFZALPUR TALUK",58,450,141,75
"KARNATAKA","GULBARGA","CHINCHOLI",12,170,125,0
"KARNATAKA","GULBARGA","CHITAPUR",35,0,440,0
"KARNATAKA","GULBARGA","GULBARGA",68,0,61,258
"KARNATAKA","GULBARGA","JEWARGI",64,128,0,0
"KARNATAKA","GULBARGA","SAHAPUR",2,0,0,0
"KARNATAKA","GULBARGA","SEDAM",34,0,82,0
"KARNATAKA","GULBARGA","SHORAPUR",43,80,10,34
"KARNATAKA","GULBARGA","YADAGIR",43,237,136,0
"KARNATAKA","HASSAN","ALUR",3,50,150,0
"KARNATAKA","HASSAN","ARASIKERE",9,0,0,126
"KARNATAKA","HASSAN","ARKALGUD",2,0,0,1500
"KARNATAKA","HASSAN","BELUR",2,0,140,0
"KARNATAKA","HASSAN","H.N. PURA",104,0,101,99
"KARNATAKA","HASSAN","HASSAN",1,0,1000,0
"KARNATAKA","KODAGU","SOMWARPET",25,25,41,0
"KARNATAKA","KOLAR","BAGEPALLI",1,0,10,0
"KARNATAKA","KOLAR","BANGARPET",1,0,0,0
"KARNATAKA","KOLAR","GOWRIBIDANOOR",8,28,91,144
"KARNATAKA","KOLAR","GUDIBANDA",3,83,27,0
"KARNATAKA","KOLAR","MALUR",1,0,0,0
"KARNATAKA","KOLAR","MULABAGAL",6,0,558,0
"KARNATAKA","KOLAR","SIDLAGHATTA",11,0,105,0
"KARNATAKA","KOLAR","SRINIVASAPUR",2,0,0,0
"KARNATAKA","MANDYA","K.R. PET",16,61,4,27
"KARNATAKA","MANDYA","MADDUR",6,20,60,501
"KARNATAKA","MANDYA","MALAVALLY",4,30,0,0
"KARNATAKA","MANDYA","MANDYA",66,400,0,0
"KARNATAKA","MANDYA","NAGAMANGALA",4,0,0,50
"KARNATAKA","MANDYA","PANDAVAPURA",41,0,0,0
"KARNATAKA","MANDYA","SRIRANGAPATNA",8,7,22,0
"KARNATAKA","MYSORE","CHAMARAJANAGAR",4,139,0,0
"KARNATAKA","MYSORE","HEGGADADEVANAKOTE",11,77,0,0
"KARNATAKA","MYSORE","HUNSUR",14,5007,408,0
"KARNATAKA","MYSORE","KOLLEGAL",43,0,15,0
"KARNATAKA","MYSORE","MYSORE",44,731,2022,9
"KARNATAKA","MYSORE","PERIYAPATNA",36,36,670,0
"KARNATAKA","MYSORE","T. NARASIPURA",1,0,10,0
"KARNATAKA","RAICHUR","DEVADURGA",13,0,2,170
"KARNATAKA","RAICHUR","GANGAVATHI",445,68,51,96
"KARNATAKA","RAICHUR","KOPPAL",96,215,195,24
"KARNATAKA","RAICHUR","KUSHTAGI",1,0,0,0
"KARNATAKA","RAICHUR","LINGASUGUR",218,0,19,370
"KARNATAKA","RAICHUR","MANVI",544,79,111,79
"KARNATAKA","RAICHUR","RAICHUR",306,10,32,79
"KARNATAKA","RAICHUR","SINDHANUR",13,0,7,74
"KARNATAKA","SHIMOGA","BHADRAVATHI",419,6,284,47
"KARNATAKA","SHIMOGA","CHANNAGIRI",73,11,85,0
"KARNATAKA","SHIMOGA","HONNALI",814,38,12,125
"KARNATAKA","SHIMOGA","SAGARA",19,5,10,0
"KARNATAKA","SHIMOGA","SHIKARPUR",208,15,65,40
"KARNATAKA","SHIMOGA","SHIMOGA",398,94,87,81
"KARNATAKA","SHIMOGA","SORAB",217,5,64,15
"KARNATAKA","SHIMOGA","TIRTHAHALLI",225,234,160,50
"KARNATAKA","TUMKUR","CHICKANAYAKANA HALLY",14,50,0,0
"KARNATAKA","TUMKUR","GUBBI",66,0,1,61
"KARNATAKA","TUMKUR","KUNIGAL",12,35,14,0
"KARNATAKA","TUMKUR","TUMKUR",43,0,7,301
"KARNATAKA","UTTARA KANNADA","ANKOLA",17,2667,109,0
"KARNATAKA","UTTARA KANNADA","HALYAL",61,31,66,134
"KARNATAKA","UTTARA KANNADA","HONNAVAR",7,10959,443,7
"KARNATAKA","UTTARA KANNADA","KARWAR",2,748,100,0
"KARNATAKA","UTTARA KANNADA","KUMTA",1,0,3050,0
"KARNATAKA","UTTARA KANNADA","MUNDAGOD",1,0,20,0
"KARNATAKA","UTTARA KANNADA","SIDDAPUR",44,4,78,17
"KARNATAKA","UTTARA KANNADA","SIRSI",12,2006,22,0
"KARNATAKA","UTTARA KANNADA","YELLAPUR",4,0,114,0
"KERALA","ALAPUZHA","ALAPUZHA",15,0,36,0
"KERALA","ALAPUZHA","ARIYAD",7,0,21,0
"KERALA","ALAPUZHA","CHAMPAKKULAM",39,0,25,6
"KERALA","ALAPUZHA","HARIPPAD",51,0,15,0
"KERALA","ALAPUZHA","MAVELIKARA",25,0,0,2
"KERALA","ALAPUZHA","MUTHUKULAM",83,0,1,8
"KERALA","ALAPUZHA","PANDALAM",5,1780,0,0
"KERALA","ALAPUZHA","VELIYANAD",51,0,44,0
"KERALA","ERANAKULAM","ALANGAD",38,758,757,6
"KERALA","ERANAKULAM","ANGAMALY",81,1004,463,121
"KERALA","ERANAKULAM","ANKAMALY",1,1427,0,0
"KERALA","ERANAKULAM","COCHIN",40,0,73,0
"KERALA","ERANAKULAM","EDAPPALLY",58,3,55,10
"KERALA","ERANAKULAM","KALAMASSERY",15,0,0,0
"KERALA","ERANAKULAM","KOOVAPPADY",11,1435,77,300
"KERALA","ERANAKULAM","KOTHAMANGALAM",20,264,259,3
"KERALA","ERANAKULAM","KOTHAMANGALAM",20,188,1101,0
"KERALA","ERANAKULAM","MULAMTHURUTHY",200,7,47,0
"KERALA","ERANAKULAM","MUVATTUPUZHA",122,708,474,9
"KERALA","ERANAKULAM","PALLURUTHY",33,0,71,0
"KERALA","ERANAKULAM","PAMPAKUDA",26,971,889,11
"KERALA","ERANAKULAM","PARAKADAVU",56,971,517,3
"KERALA","ERANAKULAM","PERUMBAVOOR",6,417,325,0
"KERALA","ERANAKULAM","TRIPPUNITHURA",187,0,251,0
"KERALA","ERANAKULAM","VADAVUKODU",14,2651,35,126
"KERALA","ERANAKULAM","VAZHAKULAM",16,962,108,0
"KERALA","ERANAKULAM","VYTTILA",96,0,0,37
"KERALA","IDUKKI","AZHUTHA",14,0,0,0
"KERALA","IDUKKI","DEVIKULAM",3,142,0,0
"KERALA","IDUKKI","ELAMDESAM",17,0,20,0
"KERALA","IDUKKI","IDUKKI",77,0,0,0
"KERALA","IDUKKI","KATTAPPANA",28,0,0,0
"KERALA","IDUKKI","NEDUMKADAM",7,0,0,333
"KERALA","IDUKKI","THODUPUZHA",52,1,26,0
"KERALA","IDUKKI","THODUPUZHA",52,113,194,0
"KERALA","KANNUR","IRITTY",301,0,266,75
"KERALA","KANNUR","KUTHUPARAMBA",3,150,233,0
"KERALA","KANNUR","PAYYANNUR",287,0,127,56
"KERALA","KANNUR","PERAVOOR",105,0,100,84
"KERALA","KANNUR","THALIPPARAMBA",16,667,222,10
"KERALA","KANNUR","TRIKKUR",1,0,0,0
"KERALA","KASARAGODE","KANHANGAD",21,0,145,221
"KERALA","KASARAGODE","MANJESWARAM",8,13,1201,0
"KERALA","KASARAGODE","NEELESWARAM",51,39,963,732
"KERALA","KOLLAM","ITHIKKARA",1,0,0,300
"KERALA","KOLLAM","KARUNAGAPPALLY",2,1425,0,0
"KERALA","KOLLAM","KOTTARAKKARA",1,500,0,0
"KERALA","KOLLAM","PUNALOOR",1,0,0,500
"KERALA","KOLLAM","SASTHAMCOTTA",8,1981,600,0
"KERALA","KOLLAM","VETTIKKAVALA",6,594,0,717
"KERALA","KOTTAYAM","CHANGANASSERY",2,0,500,0
"KERALA","KOTTAYAM","ERATTUPETTAH",19,30,64,190
"KERALA","KOTTAYAM","ETTUMANOOR",61,41,117,28
"KERALA","KOTTAYAM","KADUTHURUTHY",223,23,18,2
"KERALA","KOTTAYAM","LALAM",19,0,28,36
"KERALA","KOTTAYAM","MADAPPALLY",76,0,2401,0
"KERALA","KOTTAYAM","PALA",4,0,63,155
"KERALA","KOTTAYAM","PALLAM",36,53,123,17
"KERALA","KOTTAYAM","UZHVOOR",173,50,21,114
"KERALA","KOTTAYAM","VAIKOM",573,1,3,1
"KERALA","KOZHIKODE","BALUSSERY",5,0,0,175
"KERALA","KOZHIKODE","CHELANNUR",98,0,33,41
"KERALA","KOZHIKODE","KODUVALLY",66,0,53,108
"KERALA","KOZHIKODE","KUNNAMANGALAM",226,4,26,269
"KERALA","KOZHIKODE","KUNNUMMEL",31,0,107,163
"KERALA","KOZHIKODE","PERAMBRA",1,0,0,800
"KERALA","KOZHIKODE","THODANNUR",28,0,162,5
"KERALA","KOZHIKODE","THUNERI",17,0,94,25
"KERALA","KOZHIKODE","VADAGARA",12,0,126,13
"KERALA","KOZHIKODE","VADAKARA",13,0,96,0
"KERALA","MALAPPURAM","ANDATHODU",3,5,750,0
"KERALA","MALAPPURAM","AREEKODE",194,5,186,10
"KERALA","MALAPPURAM","KONDOTTY",82,450,327,29
"KERALA","MALAPPURAM","KUTTIPPURAM",2,0,3270,0
"KERALA","MALAPPURAM","MALAPPURAM",22,5,155,0
"KERALA","MALAPPURAM","MALAPPURAM",22,0,50,0
"KERALA","MALAPPURAM","MANJERI",8,0,494,0
"KERALA","MALAPPURAM","MANKADA",150,2,112,3
"KERALA","MALAPPURAM","NILAMBOOR",932,34,217,22
"KERALA","MALAPPURAM","PERUNTHALMANNA",99,0,66,0
"KERALA","MALAPPURAM","PONNANI",22,1111,47,0
"KERALA","MALAPPURAM","THANNUR",18,1,82,0
"KERALA","MALAPPURAM","THIROOR",4,3617,83,18
"KERALA","MALAPPURAM","THIRURANGADI",148,1110,189,5
"KERALA","MALAPPURAM","VENGARA",25,531,146,9
