-----
{
 "description": "The table refers to block wise irrigation potential utilised through Deep Tubewells . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.14.csv", 
 "title": "Download CSV for Block wise Irrigation potential utilised through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.14.csv"
}
-----
"State","District","Block","Actual area irrigated (Ha) - Kharif","Actual area irrigated (Ha) - Rabi","Actual area irrigated (Ha) - Perennial","Actual area irrigated (Ha) - Others"
"MADHYA PRADESH","SURGUJA","ODAGI",NA,NA,NA,NA
"MADHYA PRADESH","SURGUJA","PRATAPPUR",29,387,0,0
"MADHYA PRADESH","SURGUJA","PREMNAGAR",NA,NA,NA,NA
"MADHYA PRADESH","SURGUJA","RAJPUR",NA,NA,NA,NA
"MADHYA PRADESH","SURGUJA","RAMANUJNAGAR",NA,NA,NA,NA
"MADHYA PRADESH","SURGUJA","RAMCHANDRAPUR",NA,NA,NA,NA
"MADHYA PRADESH","SURGUJA","SHANKARGARH",NA,NA,NA,NA
"MADHYA PRADESH","SURGUJA","SITAPUR",NA,NA,NA,NA
"MADHYA PRADESH","SURGUJA","SONHAT",NA,NA,NA,NA
"MADHYA PRADESH","SURGUJA","SURAJPUR",21,32,0,0
"MADHYA PRADESH","SURGUJA","UDAYPUR",0,2,0,0
"MADHYA PRADESH","TIKAMGARH","BALDEOGARH",14,92,0,0
"MADHYA PRADESH","TIKAMGARH","JATARA",267,1172,0,0
"MADHYA PRADESH","TIKAMGARH","NIWARI",0,365,0,0
"MADHYA PRADESH","TIKAMGARH","PALERA",NA,NA,NA,NA
"MADHYA PRADESH","TIKAMGARH","PRITHWIPUR",NA,NA,NA,NA
"MADHYA PRADESH","TIKAMGARH","TIKAMGARH",NA,NA,NA,NA
"MADHYA PRADESH","UJJAIN","BADNAGAR",1,311,0,0
"MADHYA PRADESH","UJJAIN","GHATIYA",0,98,0,0
"MADHYA PRADESH","UJJAIN","KHACHRAUD",4,1327,0,0
"MADHYA PRADESH","UJJAIN","MAHIDPUR",1,275,31,0
"MADHYA PRADESH","UJJAIN","TARANA",0,193,0,0
"MADHYA PRADESH","UJJAIN","UJJAIN",3,284,0,0
"MADHYA PRADESH","VIDISHA","BASODA",0,392,0,0
"MADHYA PRADESH","VIDISHA","GYARASPUR",NA,NA,NA,NA
"MADHYA PRADESH","VIDISHA","KURWAI",0,5,0,0
"MADHYA PRADESH","VIDISHA","LATERI",0,12,0,0
"MADHYA PRADESH","VIDISHA","NATERAN",0,234,0,0
"MADHYA PRADESH","VIDISHA","SIRONJ",NA,NA,NA,NA
"MADHYA PRADESH","VIDISHA","VIDISHA",0,7,0,0
"MAHARASHTRA","","",NA,NA,NA,NA
"MANIPUR","BISHNUPUR","BISHNUPUR",NA,NA,NA,NA
"MANIPUR","BISHNUPUR","MOIRANG",NA,NA,NA,NA
"MANIPUR","CHANDEL","CHAKPIKARONG",NA,NA,NA,NA
"MANIPUR","CHANDEL","CHANDEL",NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR","CHURACHANDPUR",NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR","HENGLEP",NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR","SINGHAT",NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR","THANGLON",NA,NA,NA,NA
"MANIPUR","IMPHAL","HAORANGSABAL(I-W)",NA,NA,NA,NA
"MANIPUR","IMPHAL","IRILBUNG(IMPHAL-E)",NA,NA,NA,NA
"MANIPUR","IMPHAL","SWOMBUNG(IMPHAL-E)",NA,NA,NA,NA
"MANIPUR","IMPHAL","WAQNGOI(I-W)",NA,NA,NA,NA
"MANIPUR","SENAPATI","KANGPOKPI",NA,NA,NA,NA
"MANIPUR","SENAPATI","PAOMATA",NA,NA,NA,NA
"MANIPUR","SENAPATI","PURUL",NA,NA,NA,NA
"MANIPUR","SENAPATI","SAIKHUL",NA,NA,NA,NA
"MANIPUR","SENAPATI","TADUBI",NA,NA,NA,NA
"MANIPUR","TAMENGLONG","NUNGBA",NA,NA,NA,NA
"MANIPUR","TAMENGLONG","TAMEI",NA,NA,NA,NA
"MANIPUR","TAMENGLONG","TAMENGLONG",NA,NA,NA,NA
"MANIPUR","THOUBAL","KAKCHING",NA,NA,NA,NA
"MANIPUR","THOUBAL","THOUBAL",NA,NA,NA,NA
"MANIPUR","UKHRUL","CHINGAI",NA,NA,NA,NA
"MANIPUR","UKHRUL","KAMJONG",NA,NA,NA,NA
"MANIPUR","UKHRUL","PHUNGYAR",NA,NA,NA,NA
"MANIPUR","UKHRUL","UKHRUL",NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS","DAMBO RONGJENG",NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS","RESU-BELPARA",0,0,0,0
"MEGHALAYA","EAST GARO HILLS","SAMANDA.",NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS","SONGSAK",NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS","MAWKYNREW",NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS","MAWPHLANG",NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS","MAWRYNGKNENG",NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS","MAWSYNRAM",NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS","MYLLIEM",NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS","PYNURSLA",NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS","SHELLA BHOLAGANGH",NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS","AMLAREM",NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS","KHLIEHRIAT",NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS","LASKEIN",NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS","THADLASKEIN",NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT","UMLING  C&D BLOCK",NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT","UMSNING C&D BLOCK",NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS","BAGHMARA",NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS","CHOKPOT",NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS","RONGRA",NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS","BETASING",0,0,0,0
"MEGHALAYA","WEST GARO HILLS","DADENGGIRI",NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS","DALUS",NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS","RONGRAM",NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS","SELSELLA",40,40,0,0
"MEGHALAYA","WEST GARO HILLS","TIKKIRKILLA",70,55,0,0
"MEGHALAYA","WEST GARO HILLS","ZIKZAK",33,0,1,8
"MEGHALAYA","WEST KHASI HILLS","MAIRANG",NA,NA,NA,NA
"MEGHALAYA","WEST KHASI HILLS","MAWKYRWAT",NA,NA,NA,NA
"MEGHALAYA","WEST KHASI HILLS","MAWSHYNRUT",NA,NA,NA,NA
"MEGHALAYA","WEST KHASI HILLS","NONGSTOIN",NA,NA,NA,NA
"MEGHALAYA","WEST KHASI HILLS","RANIKOR",NA,NA,NA,NA
"MIZORAM","AIZAWL","AIBAWK",NA,NA,NA,NA
"MIZORAM","AIZAWL","DARLAWN",NA,NA,NA,NA
"MIZORAM","AIZAWL","KHAWZAWL",NA,NA,NA,NA
"MIZORAM","AIZAWL","LUNGDAR 'E'",NA,NA,NA,NA
"MIZORAM","AIZAWL","NGOPA",NA,NA,NA,NA
"MIZORAM","AIZAWL","PHAILENG 'W'",NA,NA,NA,NA
"MIZORAM","AIZAWL","REIEK",NA,NA,NA,NA
"MIZORAM","AIZAWL","SERCHHIP",NA,NA,NA,NA
"MIZORAM","AIZAWL","THINGDAWL",NA,NA,NA,NA
"MIZORAM","AIZAWL","THINGSULTHLIAH",NA,NA,NA,NA
"MIZORAM","AIZAWL","TLANGNUAM",NA,NA,NA,NA
"MIZORAM","AIZAWL","ZAWLNUAM",NA,NA,NA,NA
"MIZORAM","CHHIMTUIPUI","CHAWNGTE",NA,NA,NA,NA
"MIZORAM","CHHIMTUIPUI","LAWNGTLAI",NA,NA,NA,NA
"MIZORAM","CHHIMTUIPUI","SANGAU",NA,NA,NA,NA
"MIZORAM","CHHIMTUIPUI","TUIPANG",NA,NA,NA,NA
"MIZORAM","LUNGLEI","BUNGHMUN",NA,NA,NA,NA
"MIZORAM","LUNGLEI","HNAHTHIAL",NA,NA,NA,NA
"MIZORAM","LUNGLEI","LUNGLEI",NA,NA,NA,NA
"MIZORAM","LUNGLEI","LUNGSEN",NA,NA,NA,NA
"MIZORAM","LUNGLEI","VILL1",NA,NA,NA,NA
"NAGALAND","KOHIMA","JALUKIE",NA,NA,NA,NA
"NAGALAND","KOHIMA","KOHIMA",NA,NA,NA,NA
"NAGALAND","KOHIMA","KUHUBOTO",NA,NA,NA,NA
"NAGALAND","KOHIMA","MEDZIPHEMA",2,3,1,0
"NAGALAND","KOHIMA","TSEMINYU",NA,NA,NA,NA
"NAGALAND","MOKOKCHUNG","CHANGTONGYA",NA,NA,NA,NA
"NAGALAND","MOKOKCHUNG","MANGOLEMBA",NA,NA,NA,NA
"NAGALAND","MOKOKCHUNG","ONGPANGKONG",NA,NA,NA,NA
"NAGALAND","MON","CHEN",NA,NA,NA,NA
"NAGALAND","MON","MON",NA,NA,NA,NA
"NAGALAND","MON","TOBU",NA,NA,NA,NA
"NAGALAND","MON","WAKCHING",NA,NA,NA,NA
"NAGALAND","PHEK","KIKRUMA",NA,NA,NA,NA
"NAGALAND","PHEK","MELURI",NA,NA,NA,NA
"NAGALAND","PHEK","PHEK",NA,NA,NA,NA
"NAGALAND","TUENSANG","KIPHIRE",NA,NA,NA,NA
"NAGALAND","TUENSANG","LONGKHIM",NA,NA,NA,NA
"NAGALAND","TUENSANG","LONGLENG",NA,NA,NA,NA
"NAGALAND","TUENSANG","NOKLAK",NA,NA,NA,NA
"NAGALAND","TUENSANG","SANGSANGYU",NA,NA,NA,NA
"NAGALAND","TUENSANG","SHAMATOR",NA,NA,NA,NA
"NAGALAND","TUENSANG","SITIMI",NA,NA,NA,NA
"NAGALAND","WOKHA","BAGHTY",NA,NA,NA,NA
"NAGALAND","WOKHA","WOKHA",NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO","AKULUTO",NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO","GHATASHI",NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO","TOKIYE",NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO","ZUNHEBOTO",NA,NA,NA,NA
"ORISSA","ANGUL","ANUGUL",NA,NA,NA,NA
"ORISSA","ANGUL","ATHAMALLICK",NA,NA,NA,NA
"ORISSA","ANGUL","BANANPULA",NA,NA,NA,NA
"ORISSA","ANGUL","CHHENDIAPADA",NA,NA,NA,NA
"ORISSA","ANGUL","KANIHA",NA,NA,NA,NA
"ORISSA","ANGUL","KISONAGAR",NA,NA,NA,NA
"ORISSA","ANGUL","PALALAHARA",NA,NA,NA,NA
"ORISSA","ANGUL","TALCHER",NA,NA,NA,NA
"ORISSA","BALASORE","BAHANAGA",0,782,0,0
"ORISSA","BALASORE","BALASORE",108,594,0,0
"ORISSA","BALASORE","BALIPAL",119,629,0,0
"ORISSA","BALASORE","BASTA",188,1053,0,0
"ORISSA","BALASORE","BHOGARAI",8,702,0,0
"ORISSA","BALASORE","JALESWAR",66,1288,0,0
"ORISSA","BALASORE","JILGIRI",0,35,0,0
"ORISSA","BALASORE","KHAIRA",8,74,0,0
"ORISSA","BALASORE","OUPADA",2,114,0,0
"ORISSA","BALASORE","REMUNA",25,807,12,8
"ORISSA","BALASORE","SIMULIA",7,20,0,0
"ORISSA","BALASORE","SORO",0,545,0,0
"ORISSA","BARAGARH","AMBABHANA",NA,NA,NA,NA
"ORISSA","BARAGARH","ATABIRA",NA,NA,NA,NA
"ORISSA","BARAGARH","BARAGARH",5,3,3,1
"ORISSA","BARAGARH","BARAPALI",NA,NA,NA,NA
"ORISSA","BARAGARH","BHATALI",9,5,9,0
"ORISSA","BARAGARH","BHENDENI",NA,NA,NA,NA
"ORISSA","BARAGARH","BIJEPUR",NA,NA,NA,NA
"ORISSA","BARAGARH","GAISILAT",NA,NA,NA,NA
"ORISSA","BARAGARH","JHARABANDHA",2,2,0,0
"ORISSA","BARAGARH","PADMAPUR",NA,NA,NA,NA
"ORISSA","BARAGARH","PAIKMAL",NA,NA,NA,NA
"ORISSA","BARAGARH","SOHELA",34,8,0,0
"ORISSA","BHADRAK","BASUDEVPUR",31,469,0,0
"ORISSA","BHADRAK","BHADRAK",73,213,1,0
"ORISSA","BHADRAK","BHANDARIPOKHARI",77,292,0,0
"ORISSA","BHADRAK","BONTH",51,56,0,0
"ORISSA","BHADRAK","CHANDABALI",0,57,0,0
"ORISSA","BHADRAK","DHAMANAGAR",82,654,10,0
"ORISSA","BHADRAK","TIHIDI",0,147,0,0
"ORISSA","BOLANGIR","AGALPUR",NA,NA,NA,NA
"ORISSA","BOLANGIR","BALANGIR",2,2,0,0
"ORISSA","BOLANGIR","BELPARA",NA,NA,NA,NA
"ORISSA","BOLANGIR","BONGOMUNDA",NA,NA,NA,NA
"ORISSA","BOLANGIR","DEOGAN",0,0,0,0
"ORISSA","BOLANGIR","KHAPRA KHOL",NA,NA,NA,NA
"ORISSA","BOLANGIR","LOUSINGHA",NA,NA,NA,NA
"ORISSA","BOLANGIR","MURIBAHAL",NA,NA,NA,NA
"ORISSA","BOLANGIR","PATANAGARH",NA,NA,NA,NA
"ORISSA","BOLANGIR","PUINTALA",NA,NA,NA,NA
"ORISSA","BOLANGIR","SAINTALA",NA,NA,NA,NA
"ORISSA","BOLANGIR","TENTULIKHUNTI",NA,NA,NA,NA
"ORISSA","BOLANGIR","TITILAGARH",NA,NA,NA,NA
"ORISSA","BOLANGIR","TUREKELA",NA,NA,NA,NA
"ORISSA","BOUDH","BOUDH",9,0,0,0
"ORISSA","BOUDH","GHARABHANGA",NA,NA,NA,NA
"ORISSA","BOUDH","KANTAMAL",NA,NA,NA,NA
"ORISSA","CUTTACK","ATHGARH",NA,NA,NA,NA
"ORISSA","CUTTACK","BANKI",NA,NA,NA,NA
"ORISSA","CUTTACK","BARANGA",NA,NA,NA,NA
"ORISSA","CUTTACK","BARMBA",0,0,2,0
"ORISSA","CUTTACK","CUTTACK(SADAR)",108,575,16,0
"ORISSA","CUTTACK","DOMAPARA",NA,NA,NA,NA
"ORISSA","CUTTACK","KANTAPARA",6,11,0,0
"ORISSA","CUTTACK","MAHANGA",11,184,8,0
"ORISSA","CUTTACK","NARASINGHPUR",NA,NA,NA,NA
"ORISSA","CUTTACK","NIALI",NA,NA,NA,NA
"ORISSA","CUTTACK","NISCHINTAKOILI",24,17,0,0
"ORISSA","CUTTACK","SALIPUR",NA,NA,NA,NA
"ORISSA","CUTTACK","TANGI-CHOUDWAR",NA,NA,NA,NA
"ORISSA","CUTTACK","TIGIRIA",NA,NA,NA,NA
"ORISSA","DEOGARH","REAMAL",NA,NA,NA,NA
"ORISSA","DEOGARH","SARKOTE",NA,NA,NA,NA
"ORISSA","DEOGARH","TILEIBANI",NA,NA,NA,NA
"ORISSA","DHENKANAL","BHUBAN",NA,NA,NA,NA
"ORISSA","DHENKANAL","DHENKANAL",NA,NA,NA,NA
"ORISSA","DHENKANAL","GANDIA",1,1,1,0
"ORISSA","DHENKANAL","HINDOL",NA,NA,NA,NA
"ORISSA","DHENKANAL","KAMAKHYANAGAR",NA,NA,NA,NA
"ORISSA","DHENKANAL","KANKADAHAD",NA,NA,NA,NA
"ORISSA","DHENKANAL","ODAPADA",NA,NA,NA,NA
"ORISSA","DHENKANAL","PALAJANGA",NA,NA,NA,NA
"ORISSA","GAJAPATI","GUMMA",NA,NA,NA,NA
"ORISSA","GAJAPATI","KASINAGAR",0,0,0,0
"ORISSA","GAJAPATI","MOHANA",NA,NA,NA,NA
"ORISSA","GAJAPATI","NUAGADA",NA,NA,NA,NA
"ORISSA","GAJAPATI","PARALAKHEMUNDI",0,0,0,0
"ORISSA","GAJAPATI","R.UDAYAGIRI",NA,NA,NA,NA
"ORISSA","GAJAPATI","RAYAGADA",NA,NA,NA,NA
"ORISSA","GANJAM","ASKA",NA,NA,NA,NA
"ORISSA","GANJAM","BELAGUNTHA",6,7,0,0
"ORISSA","GANJAM","BHANJANAGAR",NA,NA,NA,NA
"ORISSA","GANJAM","BUGUDA",NA,NA,NA,NA
"ORISSA","GANJAM","CHATRAPUR",NA,NA,NA,NA
"ORISSA","GANJAM","CHIKITI",1,21,16,0
"ORISSA","GANJAM","DHARAKOT",NA,NA,NA,NA
"ORISSA","GANJAM","DIGAPAHANDI",NA,NA,NA,NA
"ORISSA","GANJAM","GANJAM",NA,NA,NA,NA
"ORISSA","GANJAM","HINJILIKUT",NA,NA,NA,NA
"ORISSA","GANJAM","J.N.PRASAD",NA,NA,NA,NA
"ORISSA","GANJAM","K.KHANDI",NA,NA,NA,NA
"ORISSA","GANJAM","K.S.NAGAR",NA,NA,NA,NA
"ORISSA","GANJAM","KHALLIKOT",NA,NA,NA,NA
"ORISSA","GANJAM","KODALA",NA,NA,NA,NA
"ORISSA","GANJAM","P.PUR",NA,NA,NA,NA
"ORISSA","GANJAM","PATRAPUR",0,0,0,0
"ORISSA","GANJAM","POLASARA",NA,NA,NA,NA
"ORISSA","GANJAM","R.LUNDA",NA,NA,NA,NA
"ORISSA","GANJAM","S.KHEMUNDI",NA,NA,NA,NA
"ORISSA","GANJAM","SHERAGADA",NA,NA,NA,NA
"ORISSA","GANJAM","SORADA",NA,NA,NA,NA
"ORISSA","JAGATSINGHPUR","BALIKUDA",20,4,0,0
"ORISSA","JAGATSINGHPUR","BIRIDI",49,80,0,0
"ORISSA","JAGATSINGHPUR","ERASAMA",0,0,0,0
"ORISSA","JAGATSINGHPUR","JAGATSINGHPUR",6,9,0,0
"ORISSA","JAGATSINGHPUR","KUNJANG",8,2,0,6
"ORISSA","JAGATSINGHPUR","NAUGAON",NA,NA,NA,NA
"ORISSA","JAGATSINGHPUR","RAGHUNATHPUR",35,215,10,0
"ORISSA","JAGATSINGHPUR","TRITOL",NA,NA,NA,NA
"ORISSA","JAJPUR","BARACHAN",0,34,0,0
"ORISSA","JAJPUR","BARI",0,27,0,0
"ORISSA","JAJPUR","BINJHARPUR",49,254,0,0
"ORISSA","JAJPUR","DANAGADI",NA,NA,NA,NA
"ORISSA","JAJPUR","DASARATHPUR",35,140,0,0
"ORISSA","JAJPUR","DHARAMASALA",0,0,0,0
"ORISSA","JAJPUR","JAJPUR",28,271,0,0
"ORISSA","JAJPUR","KOREI",57,403,0,0
"ORISSA","JAJPUR","RASULPUR",0,166,0,0
"ORISSA","JAJPUR","SUKINDA",NA,NA,NA,NA
"ORISSA","JHARSUGUDA","JHARSUGUDA",1,0,0,0
"ORISSA","JHARSUGUDA","KIRIMIRA",NA,NA,NA,NA
"ORISSA","JHARSUGUDA","KOLABIRA",NA,NA,NA,NA
"ORISSA","JHARSUGUDA","LAIKERA",NA,NA,NA,NA
"ORISSA","JHARSUGUDA","LAKHANPUR",46,39,6,0
"ORISSA","KALAHANDI","BHABANI PATANA",0,0,0,0
"ORISSA","KALAHANDI","DHARMGARH",NA,NA,NA,NA
"ORISSA","KALAHANDI","GOLAMUNDA",NA,NA,NA,NA
"ORISSA","KALAHANDI","JAIPATANA",NA,NA,NA,NA
"ORISSA","KALAHANDI","JUNAGARH",3,3,0,0
"ORISSA","KALAHANDI","KALAMPUR",NA,NA,NA,NA
"ORISSA","KALAHANDI","KARLAMUNDA",NA,NA,NA,NA
"ORISSA","KALAHANDI","KESINGA",NA,NA,NA,NA
"ORISSA","KALAHANDI","KOKASARA",NA,NA,NA,NA
"ORISSA","KALAHANDI","LANGIGARH",NA,NA,NA,NA
"ORISSA","KALAHANDI","M.RAMPUR",NA,NA,NA,NA
"ORISSA","KALAHANDI","NARALA",NA,NA,NA,NA
"ORISSA","KALAHANDI","TH.RAMPUR",NA,NA,NA,NA
"ORISSA","KENDRAPARA","AUL",0,10,0,0
"ORISSA","KENDRAPARA","DERABISI",4,30,0,0
"ORISSA","KENDRAPARA","GARADPUR",NA,NA,NA,NA
"ORISSA","KENDRAPARA","KENDRAPARA",NA,NA,NA,NA
"ORISSA","KENDRAPARA","MAHAKALAPADA",5,10,0,0
"ORISSA","KENDRAPARA","MARSAGHAI",0,18,0,0
"ORISSA","KENDRAPARA","PATAMUNDAI",4,42,0,2
"ORISSA","KENDRAPARA","RAJKANIKA",0,0,0,0
"ORISSA","KENDRAPARA","RAJNAGAR",0,49,0,0
"ORISSA","KEONJHAR","ANANDAPUR",0,36,0,0
"ORISSA","KEONJHAR","BANASPAL",NA,NA,NA,NA
"ORISSA","KEONJHAR","CHAMPUA",NA,NA,NA,NA
"ORISSA","KEONJHAR","GHASIPURA",NA,NA,NA,NA
"ORISSA","KEONJHAR","GHATAGAON",NA,NA,NA,NA
"ORISSA","KEONJHAR","HARICHANDANPUR",NA,NA,NA,NA
"ORISSA","KEONJHAR","HATADIHI",14,6,0,0
"ORISSA","KEONJHAR","JHUMPURA",NA,NA,NA,NA
"ORISSA","KEONJHAR","JODA",NA,NA,NA,NA
"ORISSA","KEONJHAR","PATANA",NA,NA,NA,NA
"ORISSA","KEONJHAR","SADAR",NA,NA,NA,NA
"ORISSA","KEONJHAR","SAHARAPARA",NA,NA,NA,NA
"ORISSA","KEONJHAR","TELKOI",NA,NA,NA,NA
"ORISSA","KHURDA","BALIANTA",0,0,12,0
"ORISSA","KHURDA","BALIPATANA",0,16,1,0
"ORISSA","KHURDA","BANAPUR",NA,NA,NA,NA
"ORISSA","KHURDA","BEGUNIA",NA,NA,NA,NA
"ORISSA","KHURDA","BHUBANESWAR",26,9,0,0
"ORISSA","KHURDA","BOLAGARH",NA,NA,NA,NA
"ORISSA","KHURDA","CHILIKA",NA,NA,NA,NA
"ORISSA","KHURDA","JATNI",NA,NA,NA,NA
"ORISSA","KHURDA","KHURDA",NA,NA,NA,NA
"ORISSA","KHURDA","TANGI",NA,NA,NA,NA
"ORISSA","KORAPUT","BAIPARIGUDA",NA,NA,NA,NA
"ORISSA","KORAPUT","BANDHUGOAN",NA,NA,NA,NA
"ORISSA","KORAPUT","BORIGUMMA",NA,NA,NA,NA
"ORISSA","KORAPUT","DASAMANTAPUR",NA,NA,NA,NA
"ORISSA","KORAPUT","JEYPUR",NA,NA,NA,NA
"ORISSA","KORAPUT","KORAPUT",NA,NA,NA,NA
"ORISSA","KORAPUT","KOTAPAD",NA,NA,NA,NA
"ORISSA","KORAPUT","KUNDURA",NA,NA,NA,NA
"ORISSA","KORAPUT","LAMATAPUT",NA,NA,NA,NA
"ORISSA","KORAPUT","LAXMIPUR",NA,NA,NA,NA
"ORISSA","KORAPUT","NANDAPUR",NA,NA,NA,NA
"ORISSA","KORAPUT","NARAYANPATNA",NA,NA,NA,NA
"ORISSA","KORAPUT","POTTANGI",NA,NA,NA,NA
"ORISSA","KORAPUT","SIMILIGUDA",NA,NA,NA,NA
"ORISSA","MALKANGIRI","KALIMELA",NA,NA,NA,NA
"ORISSA","MALKANGIRI","KHAIRAPUT",NA,NA,NA,NA
"ORISSA","MALKANGIRI","KONKUNDA",NA,NA,NA,NA
"ORISSA","MALKANGIRI","KUDUMULUGUMMA",NA,NA,NA,NA
"ORISSA","MALKANGIRI","MALKANAGIRI",NA,NA,NA,NA
"ORISSA","MALKANGIRI","MATHILI",NA,NA,NA,NA
"ORISSA","MALKANGIRI","PODIA",NA,NA,NA,NA
"ORISSA","MAYURBHANJ","BAHALADA",NA,NA,NA,NA
"ORISSA","MAYURBHANJ","BANGIRIPOSI",NA,NA,NA,NA
"ORISSA","MAYURBHANJ","BARIPADA",0,8,1,0
"ORISSA","MAYURBHANJ","BARSAHI",166,204,0,0
"ORISSA","MAYURBHANJ","BETANATI",38,97,0,0
"ORISSA","MAYURBHANJ","BIJATOLA",NA,NA,NA,NA
"ORISSA","MAYURBHANJ","BISOI",NA,NA,NA,NA
"ORISSA","MAYURBHANJ","GOPABANDHU NAGAR",6,10,0,0
"ORISSA","MAYURBHANJ","JAMADA",NA,NA,NA,NA
"ORISSA","MAYURBHANJ","JASIPUR",NA,NA,NA,NA
"ORISSA","MAYURBHANJ","KAPTIPADA",NA,NA,NA,NA
"ORISSA","MAYURBHANJ","KARANJIA",NA,NA,NA,NA
"ORISSA","MAYURBHANJ","KHUNTA",37,47,0,0
"ORISSA","MAYURBHANJ","KULIANA",29,35,0,0
"ORISSA","MAYURBHANJ","KUSUMI",NA,NA,NA,NA
"ORISSA","MAYURBHANJ","MORADA",33,52,0,0
"ORISSA","MAYURBHANJ","RAIRANGPUR",NA,NA,NA,NA
"ORISSA","MAYURBHANJ","RARUAN",NA,NA,NA,NA
"ORISSA","MAYURBHANJ","RASGOVINDPUR",140,178,3,0
"ORISSA","MAYURBHANJ","SAMAKHUNTA",NA,NA,NA,NA
"ORISSA","MAYURBHANJ","SARASKANA",0,0,0,0
"ORISSA","MAYURBHANJ","SUKRULI",NA,NA,NA,NA
"ORISSA","MAYURBHANJ","SULIAPADA",32,73,0,0
"ORISSA","MAYURBHANJ","THAKURMUNDA",NA,NA,NA,NA
"ORISSA","MAYURBHANJ","TIRINGI",NA,NA,NA,NA
"ORISSA","MAYURBHANJ","UDALA",NA,NA,NA,NA
"ORISSA","NAYAGARH","BHAPUR",NA,NA,NA,NA
"ORISSA","NAYAGARH","DASPALLA",NA,NA,NA,NA
"ORISSA","NAYAGARH","GANIA",NA,NA,NA,NA
"ORISSA","NAYAGARH","KHANDAPADA",NA,NA,NA,NA
"ORISSA","NAYAGARH","NAYAGARH",5,0,6,0
"ORISSA","NAYAGARH","NUAGAON",NA,NA,NA,NA
"ORISSA","NAYAGARH","ODOGAON",NA,NA,NA,NA
"ORISSA","NAYAGARH","RANPUR",NA,NA,NA,NA
"ORISSA","NOWRANGPUR","CHANDAHANDI",NA,NA,NA,NA
"ORISSA","NOWRANGPUR","DABUGAON",NA,NA,NA,NA
"ORISSA","NOWRANGPUR","JHARIGAON",NA,NA,NA,NA
"ORISSA","NOWRANGPUR","KUSAGUMUDA",NA,NA,NA,NA
"ORISSA","NOWRANGPUR","NANDAHANDI",NA,NA,NA,NA
"ORISSA","NOWRANGPUR","NAWARANGPUR",NA,NA,NA,NA
"ORISSA","NOWRANGPUR","PAPADAHANDI",NA,NA,NA,NA
"ORISSA","NOWRANGPUR","RAIGHAR",NA,NA,NA,NA
"ORISSA","NOWRANGPUR","TENTULIKHUNTI",NA,NA,NA,NA
"ORISSA","NOWRANGPUR","UMERKOT",NA,NA,NA,NA
"ORISSA","NUAPADA","BODEN",NA,NA,NA,NA
"ORISSA","NUAPADA","KHARIAR",NA,NA,NA,NA
"ORISSA","NUAPADA","KOMANA",NA,NA,NA,NA
"ORISSA","NUAPADA","NUAPARA",0,0,0,0
"ORISSA","NUAPADA","SINAPALLI",NA,NA,NA,NA
"ORISSA","PHULBANI","BALIGUDA",NA,NA,NA,NA
"ORISSA","PHULBANI","CHAKAPAD",NA,NA,NA,NA
"ORISSA","PHULBANI","DARINGIBADI",NA,NA,NA,NA
"ORISSA","PHULBANI","G.UDAYAGIRI",NA,NA,NA,NA
"ORISSA","PHULBANI","JUMUDIBANDHA",NA,NA,NA,NA
"ORISSA","PHULBANI","KHAJURIPADA",NA,NA,NA,NA
"ORISSA","PHULBANI","KOTAGARH",NA,NA,NA,NA
